"title","abstract","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"Aggressive responses to playback of solos and duets in a Neotropical antbird","Duetting behaviour is a unique form of animal communication that occurs in many diverse taxa in the animal kingdom. Hypotheses for the function of duets can be grouped into two broad categories to explain why individuals coordinate with their partner's songs to create duets: (1) duets are cooperative displays where pair members have a shared goal, such as joint resource defence, and (2) duets are conflicting displays where pair members have different goals, such as guarding against divorce or extrapair copulations. To distinguish between cooperative versus conflicting functions of vocal duets, we conducted a playback experiment to 40 breeding pairs of barred antshrikes, Thamnophilus doliatus. We broadcast five playback treatments to territorial pairs of birds: solos of males and females, duets created by males responding to female songs and by females responding to male songs, and a heterospecific control. We categorized subjects' behaviour in terms of vocal and physical responses. Male vocal and physical responses were significantly higher towards conspecific stimuli than towards heterospecific stimuli. Males tended to show more vocal responsiveness towards duet stimuli, although this tendency was not significant. We observed a similar pattern for female vocal responses. However, for physical responses, females showed significantly more intense responses towards female solo stimuli than towards any other conspecific treatment, suggesting that female antshrikes perceive rival females as an especially intense threat. Our results provide some support for a joint resource defence function for duetting in this species, while the high intrasexual aggression observed between females may indicate a form of mate guarding. (C) 2011 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","MA12","","","",""
"Alternative reproductive tactics in male Cape ground squirrels Xerus inauris","In some animal societies, males vary in the strategies and tactics that they use for reproduction. Explanations for the evolution of alternative tactics have usually focussed on extrinsic factors such as social status, the environment or population density and have rarely examined proximate differences between individuals. Anecdotal evidence suggests that two alternative reproductive tactics occur in cooperatively breeding male Cape ground squirrels. Here we show that there is strong empirical support for physiological and behavioural differences to uphold this claim. `Dispersed' males have higher resting metabolic rates and a heightened pituitary activity, compared with philopatric `natal' males that have higher circulating cortisol levels. Dispersed males also spend more time moving and less time feeding than natal males. Additionally, lone males spend a greater proportion of their time vigilant and less of their time foraging than those that were in groups. The choice of whether to stay natal or become a disperser may depend on a number of factors such as age, natal group kin structure and reproductive suppression, and the likelihood of successful reproduction whilst remaining natal. Measuring proximate factors, such as behavioural and endocrine function, may provide valuable insights into mechanisms that underlie the evolution of alternative reproductive tactics. (C) 2008 Elsevier Inc. All rights reserved.","MA16","","","",""
"Antagonistic interactions among coral-associated bacteria","Reef-building corals are comprised of close associations between the coral animal, symbiotic zooxanthellae, and a diversity of associated microbes (including Bacteria, Archaea and Fungi). Together, these comprise the coral holobiont - a paradigm that emphasizes the potential contributions of each component to the overall function and health of the coral. Little is known about the ecology of the coral-associated microbial community and its hypothesized role in coral health. We explored bacteria-bacteria antagonism among 67 bacterial isolates from the scleractinian coral Montastrea annularis at two temperatures using Burkholder agar diffusion assays. A majority of isolates exhibited inhibitory activity (69.6% of isolates at 25C, 52.2% at 31C), with members of the -proteobacteria (Vibrionales and Alteromonadales) being especially antagonistic. Elevated temperatures generally reduced levels of antagonism, although the effects were complex. Several potential pathogens were observed in the microbial community of apparently healthy corals, and 11.6% of isolates were able to inhibit the growth of the coral pathogen Vibrio shiloi at 25C. Overall, this study demonstrates that antagonism could be a structuring force in coral-associated microbial communities and may contribute to pathogenesis as well as disease resistance.  2009 Society for Applied Microbiology and Blackwell Publishing Ltd.","MA19","","","",""
"Bartonellosis: One health perspectives for an emerging infectious disease","In recent years, an increasing number of Bartonella species have been identified as zoonotic pathogens, transmitted by animal bites, scratches, arthropods and even by needle sticks. Considering the diversity of newly discovered Bartonella species and subspecies and the large number and ecologically diverse animal reservoir hosts and the evolving spectrum of arthropod vectors that can transmit these bacteria among animals and humans, the clinical and diagnostic challenges posed by Bartonella transmission in nature are presumably much more complex than is currently appreciated by diagnosticians, vector biologists, ecologists, physicians, or veterinarians. Historically the term ""bartonellosis"" was attributed to infections with Bartonella bacilliformis, transmitted by sandflies in the Peruvian Andes. Currently, however, bartonellosis now includes infections caused by any Bartonella sp. anywhere in the world. Potentially, because Bartonella spp. can infect erythrocytes, endothelial cells, pericytes, CD34+ progenitor cells, and various macrophage-type cells, including microglial cells, dendritic cells, and circulating monocytes in vitro, the clinical and pathological manifestations of bartonellosis appear to be very diverse in both sick animals and human patients. Because 75% of emerging infectious diseases are zoonoses, many of which are vector-transmitted by an arthropod, a One Health approach to bartonellosis and other zoonotic infections is needed to properly address animal health, public health, and environmental factors that influence the distribution and transmission of these bacteria. The One Health concept encourages a spirit of cooperation among animal, environmental, and human health professionals and promotes developing integrated solutions for complex problems that impact the health of animals, humans, and the planet. Importantly, substantial research is needed to define the medical importance of this genus as a cause of animal and human illnesses.  The Author 2014. Published by Oxford University Press on behalf of the Institute for Laboratory Animal Research. All rights reserved.","MA29","","","",""
"Behavioural type, status and social context affect behaviour and resource allocation in cooperatively breeding cichlids","Individuals often show consistent differences in behavioural traits that may belong to a behavioural syndrome. Aggressive propensity is usually an important component of consistent behavioural types, potentially generating benefits in resource competition with conspecifics that may be traded off against costs in other contexts (e.g. acquisition of mates or coexistence with group members). Such trade-offs have not yet been studied in highly social species. We investigated how aggressive propensity influences competition for dominance, shelters and mates in the cooperatively breeding cichlid Neolamprologus pulcher. Following an established protocol we compared growth trajectories of groups of four fish either matched or unmatched for aggressive type. Furthermore, we analysed social interactions, the acquisition of shelter and possible mating partners (by proximity to shelters and prospective mates) according to aggressive type, showing either high or low aggression levels. Contrary to prediction we found that differences in behavioural idiosyncrasies affected the likelihood of obtaining the dominant position and high-quality territories only marginally. Social interactions, growth rates and body reserve accumulation were affected by behavioural differences. However, the patterns observed in this experiment differed from previous studies and suggest a modulating effect of the social environment on the link between behavioural types and life history decisions. Hence, we suggest that in future studies this relationship should be thoroughly investigated under varying social contexts, especially in highly social species. (C) 2012 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","MA32","","","",""
"Between-group competition, intra-group cooperation and relative performance","We report the results of a new public goods experiment with an intra-group cooperation dilemma and inter-group competition. In our design subjects receive information about their relative individual and group performance after each round with non-incentivized and then incentivized group competition. We found that, on average, individuals with low relative performance reduce their contributions to the public good, but groups with low performance increase theirs. With incentivized competition, where the relative ranking of the group increases individual payoffs, the reaction to relative performance is larger with individuals contributing more to the group; further, we observe that the variance of strategies decreases as individual and group rankings increase. These results offer new insights on how social comparison shapes similar reactions in games with different incentives for group performance and how competition and cooperation can influence each other.","MA35","","","",""
"Capuchin monkeys (Sapajus {[}Cebus] apella) play Nash equilibria in dynamic games, but their decisions are likely not influenced by oxytocin","Comparative approaches to experimental economics have shed light on the evolution of social decision-making across a range of primate species, including humans. Here we replicate our previous work looking at six pairs of capuchin monkeys' (Sapajus {[}Cebus] apella) responses to scenarios requiring both coordination (Assurance Game) and anti-coordination (Hawk-Dove Game). This then provides a foundation for assessing their responses to two additional games, one with a scenario of beneficial cooperation with a temptation to defect (Prisoner's Dilemma) and one with an environment requiring changing strategies within short temporal proximity (Alternating Economic Game). We additionally explored the effects of exogenous oxytocin on decision-making. Oxytocin did not affect decisions in any of our games. Results from the first two games largely replicated our previous findings. Responses to the Prisoner's Dilemma were more varied than was seen in previous games, with pairs respectively cooperating, defecting, and failing to establish stable strategies. Such variability indicates that this game may be a good assay for individual differences in social decision-making. Finally, capuchins were able to flexibly switch between their previously established strategies within each of the different games, even when the games were presented within the same session, requiring strategy adjustments within short temporal proximity. These results build on earlier findings showing that capuchins can alter decision-making strategies as the context demands, which is likely essential for decision-making in naturally occurring contexts.","MA39","","","",""
"Chytrid epidemics may increase genetic diversity of a diatom spring-bloom","Contrary to expectation, populations of clonal organisms are often genetically highly diverse. In phytoplankton, this diversity is maintained throughout periods of high population growth (that is, blooms), even though competitive exclusion among genotypes should hypothetically lead to the dominance of a few superior genotypes. Genotype-specific parasitism may be one mechanism that helps maintain such high-genotypic diversity of clonal organisms. Here, we present a comparison of population genetic similarity by estimating the beta-dispersion among genotypes of early and peak bloom populations of the diatom Asterionella formosa for three spring-blooms under high or low parasite pressure. The Asterionella population showed greater beta-dispersion at peak bloom than early bloom in the 2 years with high parasite pressure, whereas the within group dispersion did not change under low parasite pressure. Our findings support that high prevalence parasitism can promote genetic diversification of natural populations of clonal hosts.  2013 International Society for Microbial Ecology.","MA46","","","",""
"Climate Change and Phenological Mismatch in Trophic Interactions Among Plants, Insects, and Vertebrates","Phenological mismatch results when interacting species change the timing of regularly repeated phases in their life cycles at different rates. We review whether this continuously ongoing phenomenon, also known as trophic asynchrony, is becoming morecommonunder ongoing rapid climate change. In antagonistic trophic interactions, any mismatch will have negative impacts for only one of the species, whereas in mutualistic interactions, both partners are expected to suffer. Trophic mismatch is therefore expected to last for evolutionarily short periods, perhaps only a few seasons, adding to the difficulty of attributing it to climate change, which requires long-term data. So far, the prediction that diverging phenologies linked to climate change will cause mismatch is most clearly met in antagonistic interactions at high latitudes in the Artic. There is limited evidence of phenological mismatch in mutualistic interactions, possibly because of strong selection on mutualists to have co-adapted phenological strategies. The study of individual plasticity, population variation, and the genetic bases for phenological strategies is in its infancy. Recent work on woody plants revealed the large imprint of historic climate change on temperature, chilling, and day-length thresholds used by different species to synchronize their phenophases, which in the Northern Hemisphere has led to biogeographic phenological regions inwhich long-lived plants have adapted to particular interannual and intermillennial amplitudes of climate change.","MA47","","","",""
"Coloration reflects behavioural types in the convict cichlid, Amatitlania siquia","Interindividual behavioural differences, consistent over time and across situations, are frequently related to differences in reproductive success, susceptibility to disease and competitive ability. The behavioural phenotype of a conspecific is likely to affect the outcome of a social interaction, so an individual must be able to accurately assess behavioural phenotypes in order to optimize behavioural responses during mate choice, cooperative relationships and agonistic interactions. However, behavioural assessment based on dyadic interactions in different contexts can be costly because it may require significant time, increase the risk of predation and often necessitates special cognitive abilities. Different colour cues are associated with different life history strategies in many species, so coloration might also correlate with behavioural phenotype. Thus, conspecifics could use coloration as a single cue for the mediation of social interactions. We investigated the relationship between personality and coloration in the monogamous, biparental convict cichlid. This species has black melanin-based stripes with interindividual variation in the intensity of these stripes. In addition, females have bright orange spots on their abdomens. Using repeatable measures of boldness, exploration and aggressiveness, we were able to define a behavioural syndrome and quantified the behavioural type of each individual. Behavioural types were predicted by colour traits. In particular, proactive individuals (more aggressive, bolder and quicker to resume behaviour after being startled) were more likely to be dark and, among females, have smaller orange areas. Our results support the hypothesis that coloration in the convict cichlid is related to personality. Thus, coloration could play an important role in mediating social interactions, allowing a quick and reliable assessment of conspecifics' behavioural types. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","MA53","","","",""
