"title","abstract","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"Sexual conflict, ecology, and breeding systems in shorebirds","Evolutionary biologists strive to understand the immense variation in animals' breeding systems. Shorebirds represent an ideal model system for this endeavor, because they exhibit diverse breeding systems that include monogamy, with the parents cooperating to rear the young; and polygamy by the male, the female, or both parents, with one parent taking full responsibility for incubating the eggs and rearing the young. Recent experimental manipulations, mathematical models, and phylogenetic analyses reveal that evolutionary pressures may diverge as they act on mated pairs of shorebirds, favoring one parent at a cost to the other. We argue that different reproductive payoffs for the male and the female have had fundamental implications for the evolution of diverse breeding systems.  2006 American Institute of Biological Sciences.","MA320","","","",""
"Does the Reproductive Strategy Affect the Transmission and Genetic Diversity of Bionts in Cyanolichens? A Case Study Using Two Closely Related Species","Observed levels of population genetic diversity are often associated with differences in species dispersal and reproductive strategies. In symbiotic organisms, the genetic diversity level of each biont should also be highly influenced by biont transmission. In this study, we evaluated the influence of the reproductive strategies of cyanolichen species on the current levels of population genetic diversity of bionts. To eliminate any phylogenetic noise, we selected two closely related species within the genus Degelia, which only differ in their reproductive systems. We sampled all known populations of both species in central Spain and genotyped the fungal and cyanobacterial components of lichen samples using DNA sequences as molecular markers. We applied population genetics approaches to evaluate the genetic diversity and population genetic structure of the symbiotic components of both lichen species. Our results indicate that fungal and cyanobiont genetic diversity is highly influenced by the reproductive systems of lichen fungus. We detected higher bionts genetic diversity values in the sexual species Degelia plumbea. By contrast, the levels of fungal and cyanobiont genetic diversity in the asexual species Degelia atlantica were extremely low (almost clonal), and the species shows a high specificity towards its cyanobiont. Our results indicate that reproduction by vegetative propagules, in species of the genus Degelia, favors vertical transmission and clonality, which affects the species' capacity for resources and competition, thereby limiting the species to restricted niches.  2012 Springer Science+Business Media New York.","MA104","","","",""
"The cost of myrmecophytism: Insights from allometry of stem secondary growth","Background and AimsPlant defence traits against herbivores incur production costs that are usually difficult to measure. However, estimating these costs is a prerequisite for characterizing the plant defence strategy as a whole. Myrmecophytes are plants that provide symbiotic ants with specialized nesting cavities, called domatia, in exchange for protection against herbivores. In the particular case of stem domatia, production of extra wood seems to be the only associated cost, making this indirect defence trait a particularly suitable model for estimating the cost of defence. MethodsMeasurements were made of growth pattern and cumulative production cost of domatia over secondary growth in the myrmecophyte Leonardoxa africana subsp. africana, whose internodes display both a solid basal segment and a hollow distal part (the domatium), thus allowing paired comparison of investment in wood. Key ResultsPrevious studies showed that 'overconstruction' of the hollow part of internodes during primary growth is needed for mechanical support. In this study, it is shown that the relationship between the woody cross-sectional area of the solid and hollow parts of internodes is negatively allometric at the beginning of secondary growth and nearly isometric later on. Thus, in hollow stems, the first phase of slow secondary growth compensates for the 'overconstruction' of the ring of wood during primary growth. Moreover, the cumulative production cost of a domatium (estimated as the additional volume of wood required for a hollow stem compared with a solid one) is very high at the beginning of secondary growth and then quickly tends to zero. ConclusionsMaking domatia incurs high costs early in ontogeny, costs that are then amortized later in development of stems and of individual plants. Characterizing ontogenetic variation of the net cost of this peculiar defence mechanism will help us build more accurate theoretical models of resource allocation in myrmecophytes.  2012 The Author.","MA366","","","",""
"The evolution of cooperation by negotiation in a noisy world","Cooperative interactions among individuals are ubiquitous despite the possibility of exploitation by selfish free riders. One mechanism that may promote cooperation is negotiation': individuals altering their behaviour in response to the behaviour of others. Negotiating individuals decide their actions through a recursive process of reciprocal observation, thereby reducing the possibility of free riding. Evolutionary games with response rules have shown that infinitely many forms of the rule can be evolutionarily stable simultaneously, unless there is variation in individual quality. This potentially restricts the conditions under which negotiation could maintain cooperation. Organisms interact with one another in a noisy world in which cooperative effort and the assessment of effort may be subject to error. Here, we show that such noise can make the number of evolutionarily stable rules finite, even without quality variation, and so noise could help maintain cooperative behaviour. We show that the curvature of the benefit function is the key factor determining whether individuals invest more or less as their partner's investment increases, investing less when the benefit to investment has diminishing returns. If the benefits of low investment are very small then behavioural flexibility tends to promote cooperation, because negotiation enables cooperators to reach large benefits. Under some conditions, this leads to a repeating cycle in which cooperative behaviour rises and falls over time, which may explain between-population differences in cooperative behaviour. In other conditions, negotiation leads to extremely high levels of cooperative behaviour, suggesting that behavioural flexibility could facilitate the evolution of eusociality in the absence of high relatedness.","MA372","","","",""
"Independent origins of parasitism in Animalia","Nearly half of all animals may have a parasitic lifestyle, yet the number of transitions to parasitism and their potential for species diversification remain unresolved. Based on a comprehensive survey of the animal kingdom, we find that parasitism has independently evolved at least 223 times in just 15 phyla, with the majority of identified independent parasitic groups occurring in the Arthropoda, at or below the level of Family. Metazoan parasitology is dominated by the study of helminthes; however, only 20% of independently derived parasite taxa belong to those groups, with numerous transitions also seen in Mollusca, Rotifera, Annelida and Cnidaria. Parasitism is almost entirely absent from deuterostomes, and although worm-like morphology and host associations are widespread across Animalia, the dual symbiotic and trophic interactions required for parasitism may constrain its evolution from antecedent consumer strategies such as generalist predators and filter feeders. In general, parasitic groups do not differ from their free-living relatives in their potential for speciation. However, the 10 largest parasitic clades contain 90% of described parasitic species, or perhaps 40% of all animal species. Hence, a substantial fraction of animal diversity on the Earth arose following these few transitions to a parasitic trophic strategy.  2016 The Author(s) Published by the Royal Society. All rights reserved.","MA196","","","",""
"Neanderthal hunting strategies inferred from mortality profiles within the Abric Roman sequence","Ungulate mortality profiles are commonly used to study Neanderthal subsistence strategies. To assess the hunting strategies used by Neanderthals, we studied the ages at death of the cervids and equids found in levels E, H, I, Ja, Jb, K, L and M of the Abric Roman sequence. These levels date between 43.2  1.1 ka BP (14C AMS) and 54.5  1.7 ka BP (U-series). The degree of eruption and development of the teeth and their wear stages were used to determine the ages of these animals at death, and mortality profiles were constructed using these data. The equids display prime dominated profiles in all of the analyzed levels, whereas the cervids display variable profiles. These results suggest that the Neanderthals of Abric Roman employed both selective and non-selective hunting strategies. The selective strategy focused on the hunting of prime adults and generated prime dominated profiles. On the other hand, non-selective strategies, involved the consumption of animals of variable ages, resulting in catastrophic profiles. It is likely that in the selective hunting events were conducted using selective ambushes in which it was possible to select specific prey animals. On the other hand, encounter hunting or non-selective ambush hunting may have also been used at times, based on the abundances of prey animals and encounter rates. Specific hunting strategies would have been developed accordance with the taxa and the age of the individual to be hunted. The hunting groups most likely employed cooperative hunting techniques, especially in the capture of large animals. Thus, it is not possible to uniquely associate a single mortality profile with the predation tactics of Neanderthals at Abric Roman.  2017 Marn et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","MA256","","","",""
"Non-immunological defense in an evolutionary framework","After parasite infection, invertebrates activate immune system-based defenses such as encapsulation and the signaling pathways of the innate immune system. However, hosts are often able to defend against parasites without using these mechanisms. The non-immunological defenses, such as behaviors that prevent or combat infection, symbiont-mediated defense, and fecundity compensation, are often ignored but can be important in host parasite dynamics. We review recent studies showing that heritable variation in these traits exists among individuals, and that they are costly to activate and maintain. We also discuss findings from genome annotation and expression studies to show how immune system-based and non-immunological defenses interact. Placing these studies into an evolutionary framework emphasizes their importance for future studies of host parasite coevolution.","MA259","","","",""
"Manipulation of population density and food availability affects home range sizes of African striped mouse females","An individual's home range determines its access to resources, significantly influencing its fitness. Food availability and population density are considered to be among the primary factors influencing home range sizes; however, no study has experimentally tested whether these two factors affect home range sizes independently. This is important as these two factors correlate significantly with each other, making it difficult to differentiate the effect of one from the other. First, we supplemented food to 23 female African striped mice, Rhabdomys pumilio, belonging to 15 different groups. To avoid an increase in population density by immigration, we also provided food to neighbouring groups. Although population density did not increase, female home range sizes decreased by 43.1\%. In a second experiment, we manipulated population density by removing entire social groups of striped mice. We carried out experiments within 7 weeks, a period short enough to control for a change in natural food availability. Experimental decrease of population density caused an increase of female home range sizes of 44.3\%. The degree of home range overlap between female striped mice was unaffected by supplemental feeding or by reduction of population density. However, female home range sizes were negatively affected by the total number of female neighbours, especially of heavier individuals. In addition, after removal, females significantly decreased their overlap with neighbouring breeding females indicating that competition with same-sex individuals shapes females' home ranges. This is the first comprehensive experimental field study demonstrating that an increase in food availability and a decrease in population density independently affect home range sizes of individuals. (C) 2014 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","MA239","","","",""
"Bet hedging based cooperation can limit kin selection and form a basis for mutualism","Mutualism is a mechanism of cooperation in which partners that differ help each other. As such, mutualism opposes mechanisms of kin selection and tag-based selection (for example the green beard mechanism), which are based on giving exclusive help to partners that are related or carry the same tag. In contrast to kin selection, which is a basis for parochialism and intergroup warfare, mutualism can therefore be regarded as a mechanism that drives peaceful coexistence between different groups and individuals. Here the competition between mutualism and kin (tag) selection is studied. In a model where kin selection and tag-based selection are dominant, mutualism is promoted by introducing environmental fluctuations. These fluctuations cause reduction in reproductive success by the mechanism of variance discount. The best strategy to counter variance discount is to share with agents who experience the most anticorrelated fluctuations, a strategy called bet hedging. In this way, bet hedging stimulates cooperation with the most unrelated partners, which is a basis for mutualism. Analytic results and simulations reveal that, if this effect is large enough, mutualistic strategies can dominate kin selective strategies. In addition, mutants of these mutualistic strategies that experience fluctuations that are more anticorrelated to their partner, can outcompete wild type, which can lead to the evolution of specialization. In this way, the evolutionary success of mutualistic strategies can be explained by bet hedging-based cooperation. (C) 2011 Elsevier Ltd. All rights reserved.","MA34","","","",""
"Insect seed predators and environmental change","1. The seed-to-seedling transition may be a critical stage in determining the dynamics of plant populations. Insects which kill seeds either before or after dispersal can influence the population dynamics of individual plant species, and ultimately, plant diversity and assemblage composition. 2. We discuss the potential for insect seed predators to maintain diversity in plant assemblages and to structure their composition, with a particular focus on diverse tropical forest habitats. We suggest that our ability to understand the functional effects of insect seed predators is hampered by a shortage of unbiased information on (i) their responses to the density of prey seeds at different spatial scales, and (ii) their host plant specificity. 3. Density-dependence and its implications may be best assessed using manipulative field experiments. Such approaches can reveal how insect seed predators respond behaviourally and demographically to the density of individual host species and multiple host species across a range of spatial scales. 5. Host specificity and its implications may be best addressed through quantitative food web approaches previously applied largely to host-parasitoid interactions. Food webs will allow ecologists to assess the likely importance of indirect interactions such as apparent competition and apparent mutualism in structuring plant assemblages, and the functional consequences of adding or removing individual resource or consumer species. 6. Fully quantifying the wider effects of seed predators will require studies that better integrate seed stage-specific demographic information, and which quantify the long-term effects of variations in seed predation rates for plant recruitment. Synthesis and applications. Compared to other functionally important insect groups such as pollinators, seed predators have received relatively little attention in the context of the functioning and sustainability of agro-ecosystems and the consequences of global environmental change for ecological communities. A fuller understanding of the ecology of insect seed predator-plant interactions will be valuable to conservation and management in a range of natural and agricultural systems. For example, seed predator community ecology is relevant to predicting the consequences of deliberately or unintentionally introducing novel resource or consumer species; the process of habitat recovery following local disturbances; and managing the effects of pest or beneficial seed predators in agricultural crops. Furthermore, patterns of insect seed predation on a larger scale are likely to be highly sensitive to global environmental change drivers such as climate change and systematic habitat modification and fragmentation, with implications for the structure and organization of ecological communities more widely.","MA206","","","",""
