"title","abstract","abstract.id","screener.id","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"A commentary on domestic animals as dual-purpose models that benefit agricultural and biomedical research","Research on domestic animals (cattle, swine, sheep, goats, poultry, horses, and aquatic species) at land grant institutions is integral to improving the global competitiveness of US animal agriculture and to resolving complex animal and human diseases. However, dwindling federal and state budgets, years of stagnant funding from USDA for the Competitive State Research, Education, and Extension Service National Research Initiative (CSREES-NRI) Competitive Grants Program, significant reductions in farm animal species and in numbers at land grant institutions, and declining enrollment for graduate studies in animal science are diminishing the resources necessary to conduct research on domestic species. Consequently, recruitment of scientists who use such models to conduct research relevant to animal agriculture and biomedicine at land grant institutions is in jeopardy. Concerned stakeholders have addressed this critical problem by conducting workshops, holding a series of meetings with USDA and National Institutes of Health (NIH) officials, and developing a white paper to propose solutions to obstacles impeding the use of domestic species as dual-purpose animal models for high-priority problems common to agriculture and biomedicine. In addition to shortfalls in research support and human resources, overwhelming use of mouse models in biomedicine, lack of advocacy from university administrators, long-standing cultural barriers between agriculture and human medicine, inadequate grantsmanship by animal scientists, and a scarcity of key reagents and resources are major roadblocks to progress. Solutions will require a large financial enhancement of USDA's Competitive Grants Program, educational programs geared toward explaining how research using agricultural animals benefits both animal agriculture and human health, and the development of a new mind-set in land grant institutions that fosters greater cooperation among basic and applied researchers. Recruitment of outstanding scientists dedicated to using domestic animal models for agricultural and biomedical research, strong incentives for scientists to take advantage of training opportunities to write NIH grants, and greater NIH and USDA cooperation to sponsor the use of agricultural animals as dual-purpose animal models that benefit agriculture and biomedicine will also be necessary. In conclusion, the broad diversity of animal models needed for agricultural and biomedical research is at risk unless research priorities at the land grant uni-versities are critically evaluated and financial support for such research is dramatically increased. 2008 American Society of Animal Science. All rights reserved.","MA1","NM","","",""
"A common framework for identifying linkage rules across different types of interactions","1. Species interactions, ranging from antagonisms to mutualisms, form the architecture of bio-diversity and determine ecosystem functioning. Understanding the rules responsible for who interacts with whom, as well as the functional consequences of these interspecific interactions, is central to predict community dynamics and stability. 2. Species traits sensu lato may affect different ecological processes by determining species interactions through a two-step process. First, ecological and life-history traits govern species distributions and abundance, and hence determine species co-occurrence and the potential for species to interact. Secondly, morphological or physiological traits between co-occurring potential interaction partners should match for the realization of an interaction. Here, we review recent advances on predicting interactions from species co-occurrence and develop a probabilistic model for inferring trait matching. 3. The models proposed here integrate both neutral and trait-matching constraints, while using only information about known interactions, thereby overcoming problems originating from undersampling of rare interactions (i.e. missing links). They can easily accommodate qualitative or quantitative data and can incorporate trait variation within species, such as values that vary along developmental stages or environmental gradients. 4. We use three case studies to show that the proposed models can detect strong trait matching (e.g. predator-prey system), relaxed trait matching (e.g. herbivore-plant system) and barrier trait matching (e.g. plant-pollinator systems). 5. Only by elucidating which species traits are important in each process (i.e. in determining interaction establishment and frequency), we can advance in explaining how species interact and the consequences of these interactions for ecosystem functioning.","MA2","NM","","",""
"A General Scheme to Predict Partner Control Mechanisms in Pairwise Cooperative Interactions Between Unrelated Individuals","Recent years have seen an explosion in the diversity of partner control mechanisms hypothesised to stabilise cooperative behaviour among unrelated individuals. Game theory suggests numerous strategies, each with specific decision rules that allow cooperators to control a non-contributing partner. This diversity of hypothetical strategies seems likely to reflect diversity in the types of intraspecific cooperation and interspecific mutualism that exist in nature. It is therefore important to provide a framework that explains similarities and differences between the various hypothetical strategies and that predicts how key parameters that describe the natural history of natural systems favour different control mechanisms. We develop a novel unifying framework for pairwise interactions between unrelated individuals, in which we link specific control mechanisms to specific game structures. The latter are defined by unique combinations of the states of five parameters that describe investment, aspects of the payoff matrix, the number of interactions and partner choice. We find that specific control mechanisms potentially have utility in a limited number of game structures; conversely, each game structure may typically offer a few competing control mechanisms. Our framework offers theoreticians specific problems that await mathematical exploration, while at the same time offering empiricists guidelines for evaluating the game structure and corresponding control mechanisms in their systems.  2011 Blackwell Verlag GmbH.","MA4","NM","","",""
"A Hypervariable Invertebrate Allodeterminant","Colonial marine invertebrates, such as sponges, corals, bryozoans, and ascidians, often live in densely populated communities where they encounter other members of their species as they grow over their substratum. Such encounters typically lead to a natural histocompatibility response in which colonies either fuse to become a single, chimeric colony or reject and aggressively compete for space. These allorecognition phenomena mediate intraspecific competition [1-3], support allotypic diversity [4], control the level atwhich selection acts [5-8], and resemble allogeneic interactions in pregnancy and transplantation [9-12]. Despite the ubiquity of allorecognition in colonial phyla, however, its molecular basis has not been identified beyond what is currently known about histocompatibility in vertebrates and protochordates. We positionally cloned an allorecognition gene by using inbred strains of the cnidarian, Hydractinia symbiolongicarpus, which is a model system for the study of invertebrate allorecognition. The gene identified encodes a putative transmembrane receptor expressed in all tissues capable of allorecognition that is highly polymorphic and predicts allorecognition responses in laboratory and field-derived strains. This study reveals that a previously undescribed hypervariable molecule bearing three extracellular domains with greatest sequence similarity to the immunoglobulin superfamily is an allodeterminant in a lower metazoan.  2009 Elsevier Ltd. All rights reserved.","MA5","NM","","",""
"A symbionts dispersal strategy: Condition-dependent dispersal underlies predictable variation in direct transmission among hosts","Direct horizontal transmission of pathogenic and mutualistic symbionts has profound consequences for host and symbiont fitness alike. While the importance of contact rates for transmission is widely recognized, the processes that underlie variation in transmission during contact are rarely considered. Here, we took a symbiont's perspective of transmission as a form of dispersal and adopted the concept of condition-dependent dispersal strategies from the study of free-living organisms to understand and predict variation in transmission in the cleaning symbiosis between crayfish and ectosymbiotic branchiobdellidan worms. Field study showed that symbiont reproductive success was correlated with host size and competition among worms for microhabitats. Laboratory experiments demonstrated high variability in transmission among host contacts. Moreover, symbionts were more likely to disperse when host size and competition for microhabitat created a fitness environment below a discrete minimum threshold. A predictive model based on a condition-dependent symbiont dispersal strategy correctly predicted transmission in 95% of experimental host encounters and the exact magnitude of transmission in 67%, both significantly better than predictions that assumed a fixed transmission rate. Our work provides a dispersal-based understanding of symbiont transmission and suggests adaptive symbiont dispersal strategies can explain variation in transmission dynamics and complex patterns of host infection.  2015 The Author(s) Published by the Royal Society. All rights reserved.","MA6","NM","","",""
"Adaptations for social cognition in the primate brain","Studies of the factors affecting reproductive success in group-living monkeys have traditionally focused on competitive traits, like the acquisition of high dominance rank. Recent research, however, indicates that the ability to form cooperative social bonds has an equally strong effect on fitness. Two implications follow. First, strong social bonds make individuals fitness inter- dependent and the free-rider problem disappears. Second, individuals must make adaptive choices that balance competition and cooperationoften with the same partners. The proximate mechanisms underlying these behaviours are only just beginning to be understood. Recent results from cognitive and systems neuroscience provide us some evidence that many social and non- social decisions are mediated ultimately by abstract, domain-general neural mechanisms. However, other populations of neurons in the orbitofrontal cortex, striatum, amygdala and parietal cortex specifically encode the type, importance and value of social information. Whether these specialized popu- lations of neurons arise by selection or through developmental plasticity in response to the challenges of social life remains unknown. Many brain areas are homologous and show similar patterns of activity in human and non- human primates. In both groups, cortical activity is modulated by hormones like oxytocin and by the action of certain genes that may affect individual differences in behaviour. Taken together, results suggest that differences in cooperation between the two groups are a matter of degree rather than constituting a fundamental, qualitative distinction.  2016 The Author(s) Published by the Royal Society. All rights reserved.","MA8","NM","","",""
"Aggressive responses to playback of solos and duets in a Neotropical antbird","Duetting behaviour is a unique form of animal communication that occurs in many diverse taxa in the animal kingdom. Hypotheses for the function of duets can be grouped into two broad categories to explain why individuals coordinate with their partner's songs to create duets: (1) duets are cooperative displays where pair members have a shared goal, such as joint resource defence, and (2) duets are conflicting displays where pair members have different goals, such as guarding against divorce or extrapair copulations. To distinguish between cooperative versus conflicting functions of vocal duets, we conducted a playback experiment to 40 breeding pairs of barred antshrikes, Thamnophilus doliatus. We broadcast five playback treatments to territorial pairs of birds: solos of males and females, duets created by males responding to female songs and by females responding to male songs, and a heterospecific control. We categorized subjects' behaviour in terms of vocal and physical responses. Male vocal and physical responses were significantly higher towards conspecific stimuli than towards heterospecific stimuli. Males tended to show more vocal responsiveness towards duet stimuli, although this tendency was not significant. We observed a similar pattern for female vocal responses. However, for physical responses, females showed significantly more intense responses towards female solo stimuli than towards any other conspecific treatment, suggesting that female antshrikes perceive rival females as an especially intense threat. Our results provide some support for a joint resource defence function for duetting in this species, while the high intrasexual aggression observed between females may indicate a form of mate guarding. (C) 2011 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","MA12","NM","","",""
"Agrobiodiversity","Agrobiodiversity refers to the variety and variability of living organisms that contribute to food and agriculture in the broadest sense, and that are associated with cultivating crops and rearing animals within ecological complexes. It is further expanded in some contexts to include all the organisms present in an agricultural landscape. Examples consist of crops and animal breeds, their wild relatives, and the species that interact with and support these species, for example, pollinators, symbionts, pests, parasites, predators, decomposers, and competitors. Croplands and fields as well as habitats and species outside of farming systems that affect agriculture and ecosystem functions in agricultural landscape are included. Agrobiodiversity can also refer to the extraction and utilization of products from natural ecosystems such as nonforest timber products, or livestock that pasture in grasslands. Utilization and conservation of biodiversity in agricultural landscapes is strongly influenced by socioeconomic factors at local, regional, and global scales. The concepts of agrobiodiversity are also valid for forestry and fisheries, especially in situations where human activities dominate the ecosystem processes.  2013 Elsevier Inc. All rights reserved.","MA13","NM","","",""
"Allometry of animal-microbe interactions and global census of animal-associated microbes","Animals live in close association with microorganisms, mostly prokaryotes, living in or on them as commensals, mutualists or parasites, and profoundly affecting host fitness. Most animal-microbe studies focus on microbial community structure; for this project, allometry (scaling of animal attributes with animal size) was applied to animal-microbe relationships across a range of species spanning 12 orders of magnitude in animal mass, from nematodes to whales. Microbial abundances per individual animal were gleaned from published literature and also microscopically counted in three species. Abundance of prokaryotes/individual versus animal mass scales as a nearly linear power function (exponent = 1.07, R =0.94). Combining this power function with allometry of animal abundance indicates that macrofauna have an outsized share of animal-associated microorganisms. The total number of animal-associated prokaryotes in Earths land animals was calculated to be 1.3-1.4 x 102 cells and the total of marine animal-associated microbes was calculated to be 8.6-9.0 x 10 cells. Animal-associated microbes thus total 2.1-2.3 x 102 of the approximately 10 prokaryotes on the Earth. Microbes associated with humans comprise 3.3-3.5% of Earths animal-associated microbes, and domestic animals harbour 14-20% of all animal-associated microbes, adding a new dimension to the scale of human impact on the biosphere. This novel allometric power function may reflect underlying mechanisms involving the transfer of energy and materials between microorganisms and their animal hosts. Microbial diversity indices of animal gut communities and gut microbial species richness for 60 mammals did not indicate significant scaling relationships with animal body mass; however, further research in this area is warranted.  2015 The Author(s) Published by the Royal Society. All rights reserved.","MA15","NM","","",""
"Antagonistic interactions between honey bee bacterial symbionts and implications for disease","Background: Honey bees, Apis mellifera, face many parasites and pathogens and consequently rely on a diverse set of individual and group-level defenses to prevent disease. One route by which honey bees and other insects might combat disease is through the shielding effects of their microbial symbionts. Bees carry a diverse assemblage of bacteria, very few of which appear to be pathogenic. Here we explore the inhibitory effects of these resident bacteria against the primary bacterial pathogen of honey bees, Paenibacillus larvae. Results: Here we isolate, culture, and describe by 16S rRNA and protein-coding gene sequences 61 bacterial isolates from honey bee larvae, reflecting a total of 43 distinct bacterial taxa. We culture these bacteria alongside the primary larval pathogen of honey bees, Paenibacillus larvae, and show that many of these isolates severely inhibit the growth of this pathogen. Accordingly, symbiotic bacteria including those described here are plausible natural antagonists toward this widespread pathogen. Conclusion: The results suggest a tradeoff in social insect colonies between the maintenance of potentially beneficial bacterial symbionts and deterrence at the individual and colony level of pathogenic species. They also provide a novel mechanism for recently described social components behind disease resistance in insect colonies, and point toward a potential control strategy for an important bee disease.  2006 Evans and Armstrong; licensee BioMed Central Ltd.","MA20","NM","","",""
