title,abstract,abstract.id,screener.id,decision,scale,topic
A commentary on domestic animals as dual-purpose models that benefit agricultural and biomedical research,"Research on domestic animals (cattle, swine, sheep, goats, poultry, horses, and aquatic species) at land grant institutions is integral to improving the global competitiveness of US animal agriculture and to resolving complex animal and human diseases. However, dwindling federal and state budgets, years of stagnant funding from USDA for the Competitive State Research, Education, and Extension Service National Research Initiative (CSREES-NRI) Competitive Grants Program, significant reductions in farm animal species and in numbers at land grant institutions, and declining enrollment for graduate studies in animal science are diminishing the resources necessary to conduct research on domestic species. Consequently, recruitment of scientists who use such models to conduct research relevant to animal agriculture and biomedicine at land grant institutions is in jeopardy. Concerned stakeholders have addressed this critical problem by conducting workshops, holding a series of meetings with USDA and National Institutes of Health (NIH) officials, and developing a white paper to propose solutions to obstacles impeding the use of domestic species as dual-purpose animal models for high-priority problems common to agriculture and biomedicine. In addition to shortfalls in research support and human resources, overwhelming use of mouse models in biomedicine, lack of advocacy from university administrators, long-standing cultural barriers between agriculture and human medicine, inadequate grantsmanship by animal scientists, and a scarcity of key reagents and resources are major roadblocks to progress. Solutions will require a large financial enhancement of USDA's Competitive Grants Program, educational programs geared toward explaining how research using agricultural animals benefits both animal agriculture and human health, and the development of a new mind-set in land grant institutions that fosters greater cooperation among basic and applied researchers. Recruitment of outstanding scientists dedicated to using domestic animal models for agricultural and biomedical research, strong incentives for scientists to take advantage of training opportunities to write NIH grants, and greater NIH and USDA cooperation to sponsor the use of agricultural animals as dual-purpose animal models that benefit agriculture and biomedicine will also be necessary. In conclusion, the broad diversity of animal models needed for agricultural and biomedical research is at risk unless research priorities at the land grant uni-versities are critically evaluated and financial support for such research is dramatically increased. 2008 American Society of Animal Science. All rights reserved.",MA1,NM,exclude,,
A common framework for identifying linkage rules across different types of interactions,"1. Species interactions, ranging from antagonisms to mutualisms, form the architecture of bio-diversity and determine ecosystem functioning. Understanding the rules responsible for who interacts with whom, as well as the functional consequences of these interspecific interactions, is central to predict community dynamics and stability. 2. Species traits sensu lato may affect different ecological processes by determining species interactions through a two-step process. First, ecological and life-history traits govern species distributions and abundance, and hence determine species co-occurrence and the potential for species to interact. Secondly, morphological or physiological traits between co-occurring potential interaction partners should match for the realization of an interaction. Here, we review recent advances on predicting interactions from species co-occurrence and develop a probabilistic model for inferring trait matching. 3. The models proposed here integrate both neutral and trait-matching constraints, while using only information about known interactions, thereby overcoming problems originating from undersampling of rare interactions (i.e. missing links). They can easily accommodate qualitative or quantitative data and can incorporate trait variation within species, such as values that vary along developmental stages or environmental gradients. 4. We use three case studies to show that the proposed models can detect strong trait matching (e.g. predator-prey system), relaxed trait matching (e.g. herbivore-plant system) and barrier trait matching (e.g. plant-pollinator systems). 5. Only by elucidating which species traits are important in each process (i.e. in determining interaction establishment and frequency), we can advance in explaining how species interact and the consequences of these interactions for ecosystem functioning.",MA2,NM,include,interspecific,predator-prey; plant-herbivore; pollinator-plant
A Hypervariable Invertebrate Allodeterminant,"Colonial marine invertebrates, such as sponges, corals, bryozoans, and ascidians, often live in densely populated communities where they encounter other members of their species as they grow over their substratum. Such encounters typically lead to a natural histocompatibility response in which colonies either fuse to become a single, chimeric colony or reject and aggressively compete for space. These allorecognition phenomena mediate intraspecific competition [1-3], support allotypic diversity [4], control the level atwhich selection acts [5-8], and resemble allogeneic interactions in pregnancy and transplantation [9-12]. Despite the ubiquity of allorecognition in colonial phyla, however, its molecular basis has not been identified beyond what is currently known about histocompatibility in vertebrates and protochordates. We positionally cloned an allorecognition gene by using inbred strains of the cnidarian, Hydractinia symbiolongicarpus, which is a model system for the study of invertebrate allorecognition. The gene identified encodes a putative transmembrane receptor expressed in all tissues capable of allorecognition that is highly polymorphic and predicts allorecognition responses in laboratory and field-derived strains. This study reveals that a previously undescribed hypervariable molecule bearing three extracellular domains with greatest sequence similarity to the immunoglobulin superfamily is an allodeterminant in a lower metazoan.  2009 Elsevier Ltd. All rights reserved.",MA5,NM,include,intraspecific,competition; allorecognition in colonial invertebrates
A symbionts dispersal strategy: Condition-dependent dispersal underlies predictable variation in direct transmission among hosts,"Direct horizontal transmission of pathogenic and mutualistic symbionts has profound consequences for host and symbiont fitness alike. While the importance of contact rates for transmission is widely recognized, the processes that underlie variation in transmission during contact are rarely considered. Here, we took a symbiont's perspective of transmission as a form of dispersal and adopted the concept of condition-dependent dispersal strategies from the study of free-living organisms to understand and predict variation in transmission in the cleaning symbiosis between crayfish and ectosymbiotic branchiobdellidan worms. Field study showed that symbiont reproductive success was correlated with host size and competition among worms for microhabitats. Laboratory experiments demonstrated high variability in transmission among host contacts. Moreover, symbionts were more likely to disperse when host size and competition for microhabitat created a fitness environment below a discrete minimum threshold. A predictive model based on a condition-dependent symbiont dispersal strategy correctly predicted transmission in 95% of experimental host encounters and the exact magnitude of transmission in 67%, both significantly better than predictions that assumed a fixed transmission rate. Our work provides a dispersal-based understanding of symbiont transmission and suggests adaptive symbiont dispersal strategies can explain variation in transmission dynamics and complex patterns of host infection.  2015 The Author(s) Published by the Royal Society. All rights reserved.",MA6,NM,exclude,,
Adaptations for social cognition in the primate brain,"Studies of the factors affecting reproductive success in group-living monkeys have traditionally focused on competitive traits, like the acquisition of high dominance rank. Recent research, however, indicates that the ability to form cooperative social bonds has an equally strong effect on fitness. Two implications follow. First, strong social bonds make individuals fitness inter- dependent and the free-rider problem disappears. Second, individuals must make adaptive choices that balance competition and cooperationoften with the same partners. The proximate mechanisms underlying these behaviours are only just beginning to be understood. Recent results from cognitive and systems neuroscience provide us some evidence that many social and non- social decisions are mediated ultimately by abstract, domain-general neural mechanisms. However, other populations of neurons in the orbitofrontal cortex, striatum, amygdala and parietal cortex specifically encode the type, importance and value of social information. Whether these specialized popu- lations of neurons arise by selection or through developmental plasticity in response to the challenges of social life remains unknown. Many brain areas are homologous and show similar patterns of activity in human and non- human primates. In both groups, cortical activity is modulated by hormones like oxytocin and by the action of certain genes that may affect individual differences in behaviour. Taken together, results suggest that differences in cooperation between the two groups are a matter of degree rather than constituting a fundamental, qualitative distinction.  2016 The Author(s) Published by the Royal Society. All rights reserved.",MA8,NM,include,intraspecific,competition-cooperation; social hierarchies/networks
Allometry of animal-microbe interactions and global census of animal-associated microbes,"Animals live in close association with microorganisms, mostly prokaryotes, living in or on them as commensals, mutualists or parasites, and profoundly affecting host fitness. Most animal-microbe studies focus on microbial community structure; for this project, allometry (scaling of animal attributes with animal size) was applied to animal-microbe relationships across a range of species spanning 12 orders of magnitude in animal mass, from nematodes to whales. Microbial abundances per individual animal were gleaned from published literature and also microscopically counted in three species. Abundance of prokaryotes/individual versus animal mass scales as a nearly linear power function (exponent = 1.07, R =0.94). Combining this power function with allometry of animal abundance indicates that macrofauna have an outsized share of animal-associated microorganisms. The total number of animal-associated prokaryotes in Earths land animals was calculated to be 1.3-1.4 x 102 cells and the total of marine animal-associated microbes was calculated to be 8.6-9.0 x 10 cells. Animal-associated microbes thus total 2.1-2.3 x 102 of the approximately 10 prokaryotes on the Earth. Microbes associated with humans comprise 3.3-3.5% of Earths animal-associated microbes, and domestic animals harbour 14-20% of all animal-associated microbes, adding a new dimension to the scale of human impact on the biosphere. This novel allometric power function may reflect underlying mechanisms involving the transfer of energy and materials between microorganisms and their animal hosts. Microbial diversity indices of animal gut communities and gut microbial species richness for 60 mammals did not indicate significant scaling relationships with animal body mass; however, further research in this area is warranted.  2015 The Author(s) Published by the Royal Society. All rights reserved.",MA15,NM,exclude,,
Are bryophyte communities different from higher-plant communities? Abundance relations,"The considerable differences in biology between bryophytes and higher plants have led to speculation that their community structure might be different. Ten bryophyte communities were sampled for species biomass composition, and for comparison ten higher-plant communities that were similar in physiognomy and in total community biomass. The rather insecure theory in the bryophyte literature was distilled into eight quantifiable predictions, which were tested. For seven, there was no sign of the predicted differences: i.e. no indication of the predicted low within-community heterogeneity, higher species richness, more variable species richness, lower rank consistency, a poor fit for the geometric model of RAD (relative abundance distribution), better fit for the broken-stick and general-lognormal RAD models with general-lognormal parameter gamma deviating further from 1.0, or of a good fit for the Zipf-Mandelbrot RAD model. However, evenness was, on average, significantly (p=0.005) less in the bryophyte communities, using any of four evenness indices. Two possible features of bryophytes are suggested that might cause this: (a) a smaller module (i.e. shoot, leaf) size, allowing species to be present with a lower threshold biomass, and (b) less efficient competitive exclusion among bryophytes because of weaker competition and a predominance of mutualism, as suggested in the literature. However, the striking conclusion from the results is that in spite of all the biological differences between the two groups of organisms, their community organisation is remarkably similar.",MA23,NM,exclude,,
ARE THERE GENERAL-PRINCIPLES OF SIGNAL-DESIGN,"Explanations of signal design must meet three requirements: they must be logically coherent, they must explain the diversity in size of animal signals and they must explain the diversity in form of signals. Three selection pressures operating on animal signals are discussed: the degree of conflict or cooperation, the `efficacy' of signals and how signalling costs are paid. A distinction is made between cases where costs of signalling are paid in the production of the signal and cases where costs are paid as a consequence of giving a signal on the grounds that differences in signal design result. This is illustrated by reference to the example of warning coloration. It is concluded that general principles still elude us because of the numbers of different selection pressures that operate on the design of animal signals.",MA24,NM,exclude,,
Bacterial symbionts as mediators of ecologically important traits of insect hosts,"1. Bacterial symbionts play a prominent role in insect nutritional ecology by aiding in digestion of food or providing nutrients that are limited or lacking in the diet. Thereby, endosymbionts open niches to their insect host that would otherwise be unavailable. 2. Currently, several other ecologically relevant traits mediated by endosymbionts are being investigated, including enhanced parasite resistance, enhanced heat tolerance, and influences on insect-plant interactions such as manipulation of plant physiology to the benefit of the insect. 3. Traits mediated by endosymbionts are often identified by correlative studies where traits are found to be altered in the presence of a particular symbiont. Recent developments in genomic tools offer the opportunity for studying the impact of bacteria-insect symbioses under natural conditions in a population and community ecology context. In vivo experiments specifically testing putative functions of endosymbionts in parallel to population-level studies on the prevalence of endosymbionts allow disentangling host versus symbiont contribution to phenotypic variability observed in individuals. Effects of symbionts on host phenotype are often large and relevant to host fitness, e.g. by significantly enhancing survival or fecundity in a context-dependent manner. 4. Predominantly vertically transmitted endosymbionts contribute to the heritable genetic variation present in a host species. Phenotypic variation on which selection can act may be due to differences either among host genomes, symbiont genomes, or genotype  genotype interactions. Therefore the holobiont, i.e. the host including all symbionts, should be regarded as the unit of selection as the association between host and symbionts may affect the fitness of the holobiont depending on the environment.  2011 The Author. Ecological Entomology  2011 The Royal Entomological Society.",MA27,NM,exclude,,
Benefiting friends or dominants: prosocial choices mainly depend on rank position in long-tailed macaques (Macaca fascicularis),"Long-term observational studies in a number of animal species suggest that exchange patterns of social acts depend on long-term emotional bonds. Therefore, it is expected that the frequency of prosocial behavior will depend on the strength of such a bond. In this study we tested whether variation in relationship quality among unrelated individuals, i.e., ``friends{''} and ``nonfriends,{''} is predictive of the prosocial behavior of long-tailed macaques in two experiments. First, we related relationship quality to prosociality in a dyadic prosociality test, and second, we gave subjects the choice to give to either a friend or a nonfriend in a triadic choice test. We show that prosocial behavior of long-tailed macaques in the dyadic test is not related to relationship quality. When given the choice to give to either a friend or a nonfriend in the triadic test, there is a minor indication that long-tailed macaques show a preference to give to their friends, yet this indication is neither significant nor consistent. In contrast, subordinate long-tailed macaques make a more ``competitive{''} choice and avoid giving to the individual closest in rank. Therefore, in the short-term situation of experimental tests, prosocial behavior of long-tailed macaques seems unaffected by the relationship quality of the dyad/triad tested, and the relative dominance position of these dyads/triads seems to have a much stronger effect on their prosocial behavior.",MA33,NM,include,intraspecific,competition-cooperation; social hierarchies/networks
