"","label","title","author","journal","issn","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female)"
"181","X.ISI.000269956400010","Flexible cuckoo chick-rejection rules in the superb fairy-wren","Langmore, Naomi E. and Cockburn, Andrew and Russell, Andrew F. and Kilner, Rebecca M.","BEHAVIORAL ECOLOGY","1045-2249",20,"5","978-984",2009,"10.1093/beheco/arp086","Recognition of brood parasitic cuckoo nestlings poses a challenge to hosts because cues expressed by cuckoos and host young may be very similar. In theory, hosts should use flexible recognition rules that maximize the likelihood of rejecting cuckoo nestlings while minimizing the risk of rejecting their own young. Our previous work revealed that female superb fairy-wrens Malurus cyaneus often abandoned nestling cuckoos and that the presence of a single chick in the nest was 1 trigger for abandonment because fairy-wrens also sometimes abandoned a single fairy-wren chick. Here we use a combination of 20 years of observational data, a cross-fostering experiment, and a brood size reduction experiment to determine the basis for individual variability in the chick-rejection rules of superb fairy-wrens in response to parasitism by Horsfield's bronze-cuckoos Chalcites basalis. We show that the decision to abandon a single chick is based on integration of learned recognition cues and external cues. Experienced females were relatively more likely to abandon a single cuckoo chick and accept a single fairy-wren chick than naive females. Breeding experience therefore facilitates the ability to make an accurate rejection decision, perhaps through learned refinement of the recognition template. In addition, fairy-wrens modified their rejection threshold in relation to the presence of adult cuckoos in the population, becoming more likely to abandon single nestlings with increasing risk of parasitism. By using these flexible rejection rules, female superb fairy-wrens are more likely to defend themselves successfully against exploitation by the cuckoo and are less prone to mistakenly reject their own offspring.",2,"MA181","","","",""
"11","X.ISI.000456690800006","Social influences on survival and reproduction: Insights from a long-term study of wild baboons","Alberts, Susan C.","JOURNAL OF ANIMAL ECOLOGY","0021-8790",88,"1","47-66",2019,"10.1111/1365-2656.12887","For social species, the environment has two components: physical and social. The social environment modifies the individual's interaction with the physical environment, and the physical environment may in turn impact individuals' social relationships. This interplay can generate considerable variation among individuals in survival and reproduction. Here, I synthesize more than four decades of research on the baboons of the Amboseli basin in southern Kenya to illustrate how social and physical environments interact to affect reproduction and survival. For immature baboons, social behaviour can both mitigate and exacerbate the challenge of survival. Only c. 50\% of live-born females and c. 44\% of live-born males reach the median age of first reproduction. Variation in pre-adult survival, growth and development is associated with multiple aspects of the social environment. For instance, conspecifics provide direct care and are a major source of social knowledge about food and the environment, but conspecifics can also represent a direct threat to survival through infanticide. In adulthood, both competition (within and between social groups) and cooperative affiliation (i.e. collective action and/or the exchange of social resources such as grooming) are prominent features of baboon social life and have important consequences for reproduction and survival. For instance, adult females with higher social dominance ranks have accelerated reproduction, and adult females that engage in more frequent affiliative social interactions have higher survival throughout adulthood. The early life environment also has important consequences for adult reproduction and survival, as in a number of other bird and mammal species. In seasonal breeders, early life effects often apply to entire cohorts; in contrast, in nonseasonal and highly social species such as baboons, early life effects are more individual-specific, stemming from considerable variation not only in the early physical environment (even if they are born in the same year) but also in the particulars of their social environment.",2,"MA11","","","",""
"226","X.ISI.000188244300012","Gender- and sequence-dependent predation within group colonizers of defended plants: a constraint on cheating among bark beetles?","Aukema, BH and Raffa, KF","OECOLOGIA","0029-8549",138,"2","253-258",2004,"10.1007/s00442-003-1433-y","Bark beetles engage in one of the most pronounced examples of group procurement of defended plants. Their aggregation pheromones attract both sexes and are essential to overcome constitutive and rapidly inducible lethal defenses. The relative benefits to senders versus receivers of these signals are only partly understood. Because the initial stage of host entry can be hazardous, there may be benefit to a cheating strategy, whose practitioners respond to pheromones but do not engage in host searching. Several disadvantages to cheating have been proposed, but the role of predators has not been considered. Predators exploit bark beetle pheromones to locate prey, accumulate at the breeding site, and consume adult bark beetles before they enter the tree. Preliminary experiments quantified arrival patterns in the field. We used a laboratory assay to investigate relative predation on pioneers (those that initially select and enter hosts) and responders (those that arrive at a host in response to pheromones) during host colonization. Our model system utilized the pine engraver, Ips pini, which exhibits male harem polygamy. We allowed male I. pini to colonize host tissue and added females 1 day later. Also 1 day later, we variably added additional males and predacious checkered beetles, Thanasimus dubius. These treatments included two densities of males and three densities of predators that were selected to emulate field conditions. Responding males experienced higher predation than pioneers. T. dubius ate more males than females, independent of the presence or absence of responding males. T. dubius affected the distribution of females per male, although the number of females that survived to construct ovipositional galleries was constant. We discuss the viability of cheating, implications for biological control, and predator-prey coevolution in this cooperative, group-colonizing herbivore.",2,"MA226","","","",""
"49","X.ISI.000398545200001","Synthesizing perspectives on the evolution of cooperation within and between species","Barker, Jessica L. and Bronstein, Judith L. and Friesen, Maren L. and Jones, Emily I. and Reeve, H. Kern and Zink, Andrew G. and Frederickson, Megan E.","EVOLUTION","0014-3820",71,"4","814-825",2017,"10.1111/evo.13174","Cooperation is widespread both within and between species, but are intraspecific and interspecific cooperation fundamentally similar or qualitatively different phenomena? This review evaluates this question, necessary for a general understanding of the evolution of cooperation. First, we outline three advantages of cooperation relative to noncooperation (acquisition of otherwise inaccessible goods and services, more efficient acquisition of resources, and buffering against variability), and predict when individuals should cooperate with a conspecific versus a heterospecific partner to obtain these advantages. Second, we highlight five axes along which heterospecific and conspecific partners may differ: relatedness and fitness feedbacks, competition and resource use, resource-generation abilities, relative evolutionary rates, and asymmetric strategy sets and outside options. Along all of these axes, certain asymmetries between partners are more common in, but not exclusive to, cooperation between species, especially complementary resource use and production. We conclude that cooperation within and between species share many fundamental qualities, and that differences between the two systems are explained by the various asymmetries between partners. Consideration of the parallels between intra- and interspecific cooperation facilitates application of well-studied topics in one system to the other, such as direct benefits within species and kin-selected cooperation between species, generating promising directions for future research.",2,"MA49","","","",""
"2","X.ISI.000469449100002","Transitivity and structural balance in marmot social networks","Wey, Tina W. and Jordan, Ferenc and Blumstein, Daniel T.","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443",73,"6",NA,2019,"10.1007/s00265-019-2699-3","Social relationships are composed of both positive (affiliative) and negative (agonistic) interactions, representing opposing effects. Social network theory predicts that positive relationships should be transitive; thus, the friend of a friend is more likely to be a friend. Further, when considering both positive and negative relationships jointly, structural balance theory predicts that certain configurations of positive and negative relationships in a triad are inherently less stable (unbalanced) and should tend to be eliminated. However, structural balance has been rarely examined in nonhuman social systems. We tested for transitivity and structural balance in social networks of socially flexible yellow-bellied marmots (Marmota flaviventer) and asked if group size, network density, or group composition affected the degree of structural balance. We found a consistent pattern of significant transitivity in positive interactions, some transitivity in negative interactions, and some evidence of structural balance. In particular, a weak definition of structural balance is probably more common than strong structural balance, which used a stricter definition of balance. Network size limited the ability to detect these social processes, and smaller networks were less likely to show significant transitivity or structural balance. The proportion of adult females in a group affected the level of transitivity but did not affect the degree of structural balance. Our study suggests that there are intriguing similarities in social processes across diverse animal societies and that studying triads and network motifs may help identify basic social mechanisms linking local to global structure.Significance statementSocial network theory predicts that basic social mechanisms should lead to similar structural properties across different societies. For example, positive relationships should be transitive (a friend of a friend is a friend), and certain combinations of positive and negative relationships represent conflict and should be unstable over time (e.g., a friend of a friend being an enemy is an unstable state). This latter theory, called structural balance, has rarely been examined in nonhuman societies; hence, we tested for transitivity and structural balance in groups of free-living yellow-bellied marmots. Positive interactions were generally transitive, but evidence for structural balance was inconsistent. Furthermore, group composition could affect network transitivity, and small network size (associated with few interactions) limits ability to detect significant patterns. Our results suggest that transitivity is fundamental in structuring positive relationships, while some forms of structural balance are present but not widespread.",2,"MA2","","","",""
"260","X.ISI.A1993LW99900003","COMPETITION VERSUS COOPERATION - SUCCESS OF INDIVIDUALS FORAGING ALONE AND IN GROUPS","RANTA, E and RITA, H and LINDSTROM, K","AMERICAN NATURALIST","0003-0147",142,"1","42-58",1993,"10.1086/285528","Using a variant of information-sharing models, we examine the pros and cons of group foraging against the alternative of staying alone. Models of this category-assuming that in groups food finding by one results in food sharing by many-conclude that patch-finding rate improves with group size. In our modification interference among individuals reduces pooled searching efficiency of the group. We introduce a term, s, the probability of an individual's being among the ones sharing the food in a patch found by the group. Not unexpectedly, these fine-tunings prolong food-finding rates that push individuals in the group toward the foraging status of a solitary individual. With phenotype-related differences in s, foraging in groups turns out to be a less profitable option the lower an individual is ranked in the group. The model suggests that, in terms of food finding, individuals have to pay attention to their performance in the foraging group. The option of foraging alone may easily be a better strategy than that of a low-ranking individual foraging in a group. If so, the model also suggests groups assorted by phenotype.",2,"MA260","","","",""
"50","X.ISI.000399639200029","Genetic and genomic evidence of niche partitioning and adaptive radiation in mountain pine beetle fungal symbionts","Alayon, Dario I. Ojeda and Tsui, Clement K. M. and Feau, Nicolas and Capron, Arnaud and Dhillon, Braham and Zhang, Yiyuan and Alamouti, Sepideh Massoumi and Boone, Celia K. and Carroll, Allan L. and Cooke, Janice E. K. and Roe, Amanda D. and Sperling, Felix A. H. and Hamelin, Richard C.","MOLECULAR ECOLOGY","0962-1083",26,"7, SI","2077-2091",2017,"10.1111/mec.14074","Bark beetles form multipartite symbiotic associations with blue stain fungi (Ophiostomatales, Ascomycota). These fungal symbionts play an important role during the beetle's life cycle by providing nutritional supplementation, overcoming tree defences and modifying host tissues to favour brood development. The maintenance of stable multipartite symbioses with seemingly less competitive symbionts in similar habitats is of fundamental interest to ecology and evolution. We tested the hypothesis that the coexistence of three fungal species associated with the mountain pine beetle is the result of niche partitioning and adaptive radiation using SNP genotyping coupled with genotype-environment association analysis and phenotypic characterization of growth rate under different temperatures. We found that genetic variation and population structure within each species is best explained by distinct spatial and environmental variables. We observed both common (temperature seasonality and the host species) and distinct (drought, cold stress, precipitation) environmental and spatial factors that shaped the genomes of these fungi resulting in contrasting outcomes. Phenotypic intraspecific variations in Grosmannia clavigera and Leptographium longiclavatum, together with high heritability, suggest potential for adaptive selection in these species. By contrast, Ophiostoma montium displayed narrower intraspecific variation but greater tolerance to extreme high temperatures. Our study highlights unique phenotypic and genotypic characteristics in these symbionts that are consistent with our hypothesis. By maintaining this multipartite relationship, the bark beetles have a greater likelihood of obtaining the benefits afforded by the fungi and reduce the risk of being left aposymbiotic. Complementarity among species could facilitate colonization of new habitats and survival under adverse conditions.",2,"MA50","","","",""
"203","X.ISI.000251520500003","Selfish punishment: Altruism can be maintained by competition among cheaters","Eldakar, Omar Tonsi and Farrell, Dene Leo and Wilson, David Sloan","JOURNAL OF THEORETICAL BIOLOGY","0022-5193",249,"2","198-205",2007,"10.1016/j.jtbi.2007.07.024","Altruistic punishment refers to a class of behaviors that deters cheating at a cost to the punisher, making it a form of second-order altruism. Usually, it is assumed that the punishers are themselves ``solid citizens{''} who refrain from cheating. We show in a simulation model that altruism and punishment paradoxically become negatively correlated, leading to a form of selfish punishment. Examples of selfish punishment can be found in organisms as diverse as wasps, birds, and humans. (C) 2007 Elsevier Ltd. All rights reserved.",2,"MA203","","","",""
"78","X.ISI.000360846200005","Volatile-mediated location of mutualist host and toxic non-host microfungi by Drosophila larvae","Stoetefeld, Laura and Holighaus, Gerrit and Schuetz, Stefan and Rohlfs, Marko","CHEMOECOLOGY","0937-7409",25,"5","271-283",2015,"10.1007/s00049-015-0197-2","In analogy to herbivores, fungivorous animals may find suitable host fungi using fungal volatiles as infochemicals and to distinguish between fungi of varying suitability. This study tests the influence of volatiles emitted by micro-fungi, yeast and mould, on the foraging behaviour of facultative fungivorous Drosophila melanogaster larvae. We hypothesised that establishing or avoiding contact with edible yeast (host fungus) and inedible, toxic mould (non-host fungus) is regulated by fungus-specific variation in volatile production. In particular, we expected the non-host fungus to produce specific volatiles that repel fly larvae and thus contribute to signal inedibility. By quantifying innate variation in arrival of individual D. melanogaster larvae at colonies of the mutualist yeast Candida californica or of the antagonistic mould Penicillium expansum, we found the yeast to attract more rapidly a larger number of larvae than the mould did. The developmental stage (young, vegetative vs. old, sporulating) of P. expansum did not affect arrival of larvae at fungal colonies. We used gas chromatography coupled with mass spectrometry (GC-MS) to identify the composition of fungal volatiles. Four compounds appeared to be yeast-specific, twenty to be mould-specific volatiles. Eight volatiles were consistently produced by both young and old P. expansum. Two compounds, 3-methyl-1-butanol and 2-methyl-1-propanol, were released by P. expansum (young and old) as well as C. californica. Time-dependent behavioural response profiles of similar to 750 D. melanogaster larvae revealed innate attraction to three alcohols produced by yeast and/or moulds and to two yeast-specific organic acids. We found no indication of a repellent effect of mould-specific compounds, including terpenoids like geosmin known to elicit strong avoidance behaviour of adult D. melanogaster in response to harmful microbes. Also, synthetic mould and yeast-specific blends of attractive compounds were equally attractive to the larvae. With respect to the species combinations investigated in this study, we hypothesize that qualitative differences in fungal volatile profiles are of minor relevance in how Drosophila larvae locate and probably discriminate between fungi of varying suitability.",2,"MA78","","","",""
"134","X.ISI.000310127900022","Culture-Free Survey Reveals Diverse and Distinctive Fungal Communities Associated with Developing Figs (Ficus spp.) in Panama","Martinson, Ellen O. and Herre, Edward Allen and Machado, Carlos A. and Arnold, A. Elizabeth","MICROBIAL ECOLOGY","0095-3628",64,"4","1073-1084",2012,"10.1007/s00248-012-0079-x","The ancient association of figs (Ficus spp.) and their pollinating wasps (fig wasps; Chalcidoidea, Hymenoptera) is one of the most interdependent plant-insect mutualisms known. In addition to pollinating wasps, a diverse community of organisms develops within the microcosm of the fig inflorescence and fruit. To better understand the multipartite context of the fig-fig wasp association, we used a culture-free approach to examine fungal communities associated with syconia of six species of Ficus and their pollinating wasps in lowland Panama. Diverse fungi were recovered from surface-sterilized flowers of all Ficus species, including gall- and seed flowers at four developmental stages. Fungal communities in syconia and on pollinating wasps were similar, dominated by diverse and previously unknown Saccharomycotina, and distinct from leaf- and stem endophyte communities in the same region. Before pollination, fungal communities were similar between gall- and seed flowers and among Ficus species. However, fungal communities differed significantly in flowers after pollination vs. before pollination, and between anciently diverged lineages of Ficus with active vs. passive pollination syndromes. Within groups of relatively closely related figs, there was little evidence for strict-sense host specificity between figs and particular fungal species. Instead, mixing of fungal communities among related figs, coupled with evidence for possible transfer by pollinating wasps, is consistent with recent suggestions of pollinator mixing within syconia. In turn, changes in fungal communities during fig development and ripening suggest an unexplored role of yeasts in the context of the fig-pollinator wasp mutualism.",2,"MA134","","","",""
