"","label","title","author","journal","issn","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female)"
"153","X.ISI.000293884700021","Aggressive responses to playback of solos and duets in a Neotropical antbird","Koloff, Julianne and Mennill, Daniel","ANIMAL BEHAVIOUR","0003-3472",82,"3","587-593",2011,"10.1016/j.anbehav.2011.06.021","Duetting behaviour is a unique form of animal communication that occurs in many diverse taxa in the animal kingdom. Hypotheses for the function of duets can be grouped into two broad categories to explain why individuals coordinate with their partner's songs to create duets: (1) duets are cooperative displays where pair members have a shared goal, such as joint resource defence, and (2) duets are conflicting displays where pair members have different goals, such as guarding against divorce or extrapair copulations. To distinguish between cooperative versus conflicting functions of vocal duets, we conducted a playback experiment to 40 breeding pairs of barred antshrikes, Thamnophilus doliatus. We broadcast five playback treatments to territorial pairs of birds: solos of males and females, duets created by males responding to female songs and by females responding to male songs, and a heterospecific control. We categorized subjects' behaviour in terms of vocal and physical responses. Male vocal and physical responses were significantly higher towards conspecific stimuli than towards heterospecific stimuli. Males tended to show more vocal responsiveness towards duet stimuli, although this tendency was not significant. We observed a similar pattern for female vocal responses. However, for physical responses, females showed significantly more intense responses towards female solo stimuli than towards any other conspecific treatment, suggesting that female antshrikes perceive rival females as an especially intense threat. Our results provide some support for a joint resource defence function for duetting in this species, while the high intrasexual aggression observed between females may indicate a form of mate guarding. (C) 2011 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2,"MA153","","","",""
"59","X.ISI.000391932600003","Individual interaction data are required in community ecology: a conceptual review of the predator-prey mass ratio and more","Nakazawa, Takefumi","ECOLOGICAL RESEARCH","0912-3814",32,"1","5-12",2017,"10.1007/s11284-016-1408-1","Community ecology is traditionally species-based and assumes that species comprise identical individuals. However, intraspecific variation is ubiquitous in nature because of ontogenetic growth and critical in food-we dynamics. To understand individual interaction-mediated food webs, researchers have recently focused on body size as the most fundamental biological aspect and assessed a parameter called the predator-prey mass ratio (PPMR). Herein, I review the conceptual development of the PPMR and suggest four major concerns regarding its measurement: (1) PPMR should be measured at the individual level because species-averaged values distort actual feeding relationships, (2) individual-level PPMR data on gape-unconstrained predators (e.g., terrestrial carnivores) are limited because previous studies have targeted gape-limited fish predators, (3) predators' prey size selectivity (preferred PPRM) is conceptually different from dietary prey size (realized PPMR) and should be distinguished by incorporating environmental prey abundance information, and (4) determinants of preferred PPMR, rather than those of realized PPMR, should be identified to describe size-dependent predation. Future studies are encouraged to explore not only predation but also other interaction types (e.g., competition, mutualism, and herbivory) at the individual level. However, this is not likely to occur while ecological communities are still considered to be interspecific interaction networks. To resolve this situation and more comprehensively understand biodiversity and ecosystem functioning, I suggest that community ecology requires a paradigm shift in the unit of interaction from species to individuals, similar to evolutionary biology, which revolutionized the unit of selection, because interactions occur between individuals.",2,"MA59","","","",""
"88","X.ISI.000357719500019","Allometry of animal-microbe interactions and global census of animal-associated microbes","Kieft, Thomas L. and Simmons, Karen A.","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452",282,"1810",NA,2015,"10.1098/rspb.2015.0702","Animals live in close association with microorganisms, mostly prokaryotes, living in or on them as commensals, mutualists or parasites, and profoundly affecting host fitness. Most animal-microbe studies focus on microbial community structure; for this project, allometry (scaling of animal attributes with animal size) was applied to animal-microbe relationships across a range of species spanning 12 orders of magnitude in animal mass, from nematodes to whales. Microbial abundances per individual animal were gleaned from published literature and also microscopically counted in three species. Abundance of prokaryotes/individual versus animal mass scales as a nearly linear power function (exponent =1.07, R-2 = 0.94). Combining this power function with allometry of animal abundance indicates that macrofauna have an outsized share of animal-associated microorganisms. The total number of animal-associated prokaryotes in Earth's land animals was calculated to be 1.3-1.4 x 10(25) cells and the total of marine animal-associated microbes was calculated to be 8.6-9.0 x 10(24) cells. Animal-associated microbes thus total 2.1-2.3 x 10(25) of the approximately 10(30) prokaryotes on the Earth. Microbes associated with humans comprise 3.3-3.5\% of Earth's animal-associated microbes, and domestic animals harbour 14-20\% of all animal-associated microbes, adding a new dimension to the scale of human impact on the biosphere. This novel allometric power function may reflect underlying mechanisms involving the transfer of energy and materials between microorganisms and their animal hosts. Microbial diversity indices of animal gut communities and gut microbial species richness for 60 mammals did not indicate significant scaling relationships with animal body mass; however, further research in this area is warranted.",2,"MA88","","","",""
"187","X.ISI.000269041600002","Male reproductive success in plateau pikas (Ochotona curzoniae): A microsatellite analysis","Yin, Baofa and Yang, Shengmei and Wei, Wanhong and Zhang, Yanming","MAMMALIAN BIOLOGY","1616-5047",74,"5","344-350",2009,"10.1016/j.mambio.2008.10.001","In many social species, competition and cooperation between group members may lead to a large variance in reproductive success among individuals, especially for adult male. From April to August 2002, we studied the adult male reproductive success of plateau pikas in Haibei Alpine Meadow Ecosystem Research Station, Chinese Academy of Science, using microsatellite analysis of paternity, mark-recapture and behavioral observations. Our result indicated that the reproductive success of adult males had a large variance. Its average was 6 individuals and range was from 0 to 13 individuals. One-third of males sired 63.22\% offspring. There was a hierarchy system in polygynandrous families. Although the reproductive success of dominant males was higher than that of subordinate males, subordinate males still play an important role in the reproductive Success of the population. (C) 2009 Published by Elsevier GmbH on behalf of Deutsche Gesellschaft fur Saugetierkunde.",2,"MA187","","","",""
"214","X.ISI.000239004200001","Variation in individual investment strategies among social animals","Komdeur, Jan","ETHOLOGY","0179-1613",112,"8","729-747",2006,"10.1111/j.1439-0310.2006.01243.x","Cooperation and conflict are ubiquitous features of life in the vast majority of animals and can occur over a wide range of functional contents and at various levels. In this review I describe known and less well-known proximate aspects of cooperation and conflict over reproductive behaviour in social animals, where individuals other than the genetic parents contribute to the provisioning of care ('alloparental care'). Traditionally the evolution of alloparental care is viewed as a two-step process: the decision to delay dispersal and independent breeding, usually as a consequence of the existence of constraints on independent breeding, and the decision to behave as alloparents by which individuals that have delayed dispersal gain a net fitness benefit. Behavioural ecological theory generally assumes that all individuals are similar in `make-up' and that life history and behavioural decisions are facultative. However, there is probably more individual variation in the amount and type of social behaviour than originally anticipated. Here, I demonstrate that some of these differences in behaviours are because of environmental factors, which may be associated with `reaction norms' or the genotype's quantitative phenotypic variation, or which may yield polyethisms. Most evolutionary models of animal cooperation are based on optimality approaches that do not consider individual genetic variation and maternal effects on the variation in the expression of social behaviour. Further research on the genetic basis of cooperations and subordinate-breeder interactions may be crucial for understanding the evolution of social behaviour. If we take individual differences into account our conclusions and explanations of social behaviour may change. Given the conceptual similarities between the various research disciplines addressing different types of cooperation and conflict over investment, the issues described here should lead to more mutual attraction between the different disciplines and stimulate further development in our understanding of cooperation strategies in general.",2,"MA214","","","",""
"111","X.ISI.000330149600011","Cooperation promotes the evolution of separate sexes from hermaphrodites with unitary growth","Xu, Ying and Yang, Jiang-Nan","JOURNAL OF THEORETICAL BIOLOGY","0022-5193",341,NA,"102-110",2014,"10.1016/j.jtbi.2013.09.033","Most animals have specialized into separate sexes but most plants remain hermaphroditic. The underlining cause for this is still unclear. Here we address this question by evolutionary stable strategy analysis and exact calculation of frequency-dependent selection and genetic drift in geographically structured populations. Reproductive investments of hermaphrodites are divided into male and female functions, and each sex requires linear investments that increase linearly with successful gamete number and reusable investments (RIs) that increase less than linearly. Individuals specializing into one sex require RIs of only this sex and thus can produce more gametes. However, these gametes suffer strong kin competition as they are of the same sex and gamete number of the other sex decreases. The success of individuals specializing into one sex requires individuals specializing into the other sex to cooperate with them, providing them with more opposite-sex gametes and relaxing them of the same-sex competition. The evolution of this cooperation does not require two rare mutations to happen simultaneously at the same place, because single-sex mutants can sparsely spread in a hermaphroditic population with RIs despite genetic drift and wait for mutants of the other sex to arise. RI resembles fixed cost in previous theories. However, previous theories considered all costs except for costs for gametes as fixed costs and this does not capture an important plant-animal difference; modular growth of sexual organs in most plants and some animals promotes reproductive investments to increase linearly with offspring number, so their investments in sexual organs are linear investments rather than fixed costs. This study shows the evolution of separate sexes from hermaphrodites as an example of the evolution of cooperation and mutualism as in harmony games, and highlights modular growth as an important factor that prevents most plants and some animals from evolving into separate sexes. (C) 2013 Elsevier Ltd. All rights reserved.",2,"MA111","","","",""
"250","X.ISI.000072540500011","Competitive altruism: from reciprocity to the handicap principle","Roberts, G","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452",265,"1394","427-431",1998,"10.1098/rspb.1998.0312","Current work on cooperation is focused on the theory of reciprocal altruism. However, reciprocity is just one way of getting a return on an investment in altruism and is difficult to apply to many examples. Reciprocity theory addresses how animals respond dynamically to others so as to cooperate without being exploited. I discuss how introducing differences in individual generosity together with partner choice into models of reciprocity can lead to an escalation in altruistic behaviour. Individuals may compete for the most altruistic partners and non-altruists may become ostracized. I refer to this phenomenon as competitive altruism and propose that it can represent a move away from the dynamic responsiveness of reciprocity. Altruism may be rewarded in kind, but rewards may be indirectly accrued or may not involve the return of altruism at all, for example if altruists tend to be chosen as mates. This variety makes the idea of competitive altruism relevant to behaviours which cannot be explained by reciprocity. I consider whether altruism might act as a signal of quality, as proposed by the handicap principle. I suggest that altruistic acts could make particularly effective signals because of the inherent benefits to receivers. I consider how reciprocity and competitive altruism are related and how they may be distinguished.",2,"MA250","","","",""
"253","X.ISI.A1997YD37000008","Cell communities and robustness in development","Monk, NAM","BULLETIN OF MATHEMATICAL BIOLOGY","0092-8240",59,"6","1183-1189",1997,"10.1007/BF02460107","The robustness of patterning events in development is a key feature that must be accounted for in proposed models of these events. When considering explicitly cellular systems, robustness can be exhibited at different levels of organization. Consideration of two widespread patterning mechanisms suggests that robustness at the level of cell communities can result from variable development at the level of individual cells; models of these mechanisms show how interactions between participating cells guarantee community-level robustness. Cooperative interactions enhance homogeneity within communities of like cells and the sharpness of boundaries between communities of distinct cells, while competitive interactions amplify small inhomogeneities within communities of initially equivalent cells, resulting in fine-grained patterns of cell specialization. (C) 1997 Society for Mathematical Biology.",2,"MA253","","","",""
"217","X.ISI.000234951600016","Emergence of ratio-dependent and predator-dependent functional responses for pollination mutualism and seed parasitism","DeAngelis, DL and Holland, JN","ECOLOGICAL MODELLING","0304-3800",191,"3-4","551-556",2006,"10.1016/j.ecolmodel.2005.06.005","Prey (N) dependence {[}g(N)], predator (P) dependence {[}g(P) or g(N,P)], and ratio dependence {[}f(P/N)] are often seen as contrasting forms of the predator's functional response describing predator consumption rates on prey resources in predator-prey and parasitoid-host interactions. Analogously, prey-, predator-, and ratio-dependent functional responses are apparently alternative functional responses for other types of consumer-resource interactions. These include, for example, the fraction of flowers pollinated or seeds parasitized in pollination (pre-dispersal) seed-parasitism mutualisms, such as those between fig wasps and fig trees or yucca moths and yucca plants. Here we examine the appropriate functional responses for how the fraction of flowers pollinated and seeds parasitized vary with the density of pollinators (predator dependence) or the ratio of pollinator and flower densities (ratio dependence). We show that both types of functional responses can emerge from minor, but biologically important variations on a single model. An individual-based model was first used to describe plant-pollinator interactions. Conditional upon on whether the number of flowers visited by the pollinator was limited by factors other than search time (e.g., by the number of eggs it had to lay, if it was also a seed parasite), and on whether the pollinator could directly find flowers on a plant, or had to search, the simulation results lead to either a predator-dependent or a ratio-dependent functional response. An analytic model was then used to show mathematically how these two cases can arise. (c) 2005 Published by Elsevier B.V.",2,"MA217","","","",""
"256","X.ISI.A1997XF09900004","Culture and the evolution of social learning","Flinn, MV","EVOLUTION AND HUMAN BEHAVIOR","1090-5138",18,"1","23-67",1997,"10.1016/S1090-5138(96)00046-3","Applications of modern evolutionary theory to human culture have generated several different theoretical approaches that challenge traditional anthropological perspectives. `'Cultural selection'' and `'mind parasite'' theories model culture as an independent evolutionary system because transmission of cultural traits via social learning is distinct from transmission of genes via DNA replication, `'Dual-inheritance'' and `'co-evolution'' theories model culture as an intermediary evolutionary process that involves information from two inheritance systems: genetics and social learning, `'Evolutionary psychology'' theories emphasize that the evolutionary history of natural selection on mental processes links culture and biological adaptation; hence, cultural information is viewed as part of the organic phenotype and not an independent evolutionary system, Cross-cultural universals and scenarios of the `'environment of evolutionary adaptedness'' are used to identify characteristics of the `'evolved mind'' (human nature). `'Behavioral ecology'' theories examine relations between behavior and environmental context, Behavioral/cultural variations are viewed as products of flexible decision-making processes (evolved mind) that may respond adaptively to micro-environmental differences, It is difficult to devise empirical tests that distinguish among these theories, because they share many basic premises and make similar predictions about human behavior. Indeed, some of the apparent differences may be more semantic than substantive. Social learning is the key process underlying these evolutionary paradigms, Here I argue that human learning mechanisms are products of natural selection, and hence process information in ways that reflect evolutionary design, I review common objections to this hypothesis, including (1) learning processes are uncoupled from genetics and biological adaptation; (2) culture (or its effects) is partly extrasomatic; (3) culture, by most definitions, involves mental phenomena, including conscious thought; (4) culture involves the use of arbitrary symbols to communicate information; (5) culture appears to have emergent properties at the group level, such as shared values and beliefs resulting in political and religious institutions; (6) culture involves historical processes; and (7) complex culture is uniquely human-we need an explanation for why the human species alone evolved such extensive social learning aptitudes. I suggest that these controversies can be resolved, although empirical tests are difficult. I posit that social competition was a primary selective pressure on human mental abilities (Alexander 1989) and that this favored domain-general, constructivist learning capabilities (e.g., Quartz and Sejnowski, in press) that can manage context-dependent analysis and integrate information from domain-specific mechanisms (Hirschfeld and Gelman 1994; MacDonald 1991; Sperber 1996). Humans are unique in the extraordinary levels of novelty that are generated by the processing of socially learned information. Human culture is cumulative; human cognition produces new ideas built upon the old. To a degree that far surpasses that of any other species, human mental processes must contend with a constantly changing information environment of their own creation. Cultural information may be especially dynamic because it is a fundamental aspect of human social competition. Apparently arbitrary changes in cultural traits, such as clothing styles, music, art, food, dialects, and so forth, may reflect information arms races among social competitors. The remarkable developmental plasticity and cross domain integration of some cognitive mechanisms may be products of selection for special sensitivity to variable social context. Human `'culture'' is not just a pool or source of information; it is an arena and theater of social manipulation and competition. Studies of human behavior-including language, kinship, mating relationships, subsistence, economics, and politics-generally are consistent with an evolutionary basis for social learning, but often they fail to add specific new knowledge about the mechanisms. Analyses of cognitive aptitudes underlying language, kinship, and so forth, often are inconclusive because cultural information (and consequent behavior) involves complex interaction among history, environmental variation, ontogenetic pathways of mental processes, and specific context. I suggest that empirical tests of evolutionary culture theory must build upon identification of apparent universals and examine individual variability by incorporating developmental psychology, environmental conditions, and social and historical context. This synthesis would benefit from enhanced cooperation between cognitive psychologists and cultural anthropologists. (C) Elsevier Science Inc., 1997.",2,"MA256","","","",""
