"","label","title","author","journal","issn","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female)"
"106","X.ISI.000334966800002","Cooperative personalities and social niche specialization in female meerkats","Carter, A. J. and English, S. and Clutton-Brock, T. H.","JOURNAL OF EVOLUTIONARY BIOLOGY","1010-061X",27,"5","815-825",2014,"10.1111/jeb.12358","The social niche specialization hypothesis predicts that group-living animals should specialize in particular social roles to avoid social conflict, resulting in alternative life-history strategies for different roles. Social niche specialization, coupled with role-specific life-history trade-offs, should thus generate between-individual differences in behaviour that persist through time, or distinct personalities, as individuals specialize in particular nonoverlapping social roles. We tested for support for the social niche specialization hypothesis in cooperative personality traits in wild female meerkats (Suricata suricatta) that compete for access to dominant social roles. As cooperation is costly and dominance is acquired by heavier females, we predicted that females that ultimately acquired dominant roles would show noncooperative personality types early in life and before and after role acquisition. Although we found large individual differences in repeatable cooperative behaviours, there was no indication that individuals that ultimately acquired dominance differed from unsuccessful individuals in their cooperative behaviour. Early-life behaviour did not predict social role acquisition later in life, nor was cooperative behaviour before and after role acquisition correlated in the same individuals. We suggest that female meerkats do not show social niche specialization resulting in cooperative personalities, but that they exhibit an adaptive response in personality at role acquisition.",2,"MA106","","","",""
"153","X.ISI.000293884700021","Aggressive responses to playback of solos and duets in a Neotropical antbird","Koloff, Julianne and Mennill, Daniel","ANIMAL BEHAVIOUR","0003-3472",82,"3","587-593",2011,"10.1016/j.anbehav.2011.06.021","Duetting behaviour is a unique form of animal communication that occurs in many diverse taxa in the animal kingdom. Hypotheses for the function of duets can be grouped into two broad categories to explain why individuals coordinate with their partner's songs to create duets: (1) duets are cooperative displays where pair members have a shared goal, such as joint resource defence, and (2) duets are conflicting displays where pair members have different goals, such as guarding against divorce or extrapair copulations. To distinguish between cooperative versus conflicting functions of vocal duets, we conducted a playback experiment to 40 breeding pairs of barred antshrikes, Thamnophilus doliatus. We broadcast five playback treatments to territorial pairs of birds: solos of males and females, duets created by males responding to female songs and by females responding to male songs, and a heterospecific control. We categorized subjects' behaviour in terms of vocal and physical responses. Male vocal and physical responses were significantly higher towards conspecific stimuli than towards heterospecific stimuli. Males tended to show more vocal responsiveness towards duet stimuli, although this tendency was not significant. We observed a similar pattern for female vocal responses. However, for physical responses, females showed significantly more intense responses towards female solo stimuli than towards any other conspecific treatment, suggesting that female antshrikes perceive rival females as an especially intense threat. Our results provide some support for a joint resource defence function for duetting in this species, while the high intrasexual aggression observed between females may indicate a form of mate guarding. (C) 2011 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2,"MA153","","","",""
"25","X.ISI.000435128300003","Adaptive Divergence in a Defense Symbiosis Driven from the Top Down","Heath, Jeremy J. and Abbot, Patrick and Stireman, III, John O.","AMERICAN NATURALIST","0003-0147",192,"1","E21-E36",2018,"10.1086/697446","Most studies of adaptive radiation in animals focus on resource competition as the primary driver of trait divergence. The roles of other ecological interactions in shaping divergent phenotypes during such radiations have received less attention. We evaluate natural enemies as primary agents of diversifying selection on the phenotypes of an actively diverging lineage of gall midges on tall goldenrod. In this system, the gall of the midge consists of a biotrophic fungal symbiont that develops on host-plant leaves and forms distinctly variable protective carapaces over midge larvae. Through field studies, we show that fungal gall morphology, which is induced by midges (i.e., it is an extended phenotype), is under directional and diversifying selection by parasitoid enemies. Overall, natural enemies disruptively select for either small or large galls, mainly along the axis of gall thickness. These results imply that predators are driving the evolution of phenotypic diversity in symbiotic defense traits in this system and that divergence in defensive morphology may provide ecological opportunities that help to fuel the adaptive radiation of this genus of midges on goldenrods. This enemy-driven phenotypic divergence in a diversifying lineage illustrates the potential importance of consumer-resource and symbiotic species interactions in adaptive radiation.",2,"MA25","","","",""
"118","X.ISI.000321823300012","Divergent host phenotypes create opportunities and constraints on the distribution of two wing-dwelling feather mites","Fernandez-Gonzalez, Sofia and De la Hera, Ivan and Perez-Rodriguez, Anton and Perez-Tris, Javier","OIKOS","0030-1299",122,"8","1227-1237",2013,"10.1111/j.1600-0706.2012.00241.x","The diversity of symbionts (commensals, mutualists or parasites) that share the same host species may depend on opportunities and constraints on host exploitation associated with host phenotype or environment. Various host traits may differently influence host accessibility and within-host population growth of each symbiont species, or they may determine the outcome of within-host interactions among coexisting species. In turn, phenotypic diversity of a host species may promote divergent exploitation strategies among its symbiotic organisms. We studied the distribution of two feather mite species, Proctophyllodes sylviae and Trouessartia bifurcata, among blackcaps Sylvia atricapilla wintering in southern Spain during six winters. The host population included migratory and sedentary individuals, which were unequally distributed between two habitat types (forests and shrublands). Visual mite counts showed that both mite species often coexisted on sedentary blackcaps, but were seldom found together on migratory blackcaps. Regardless of host habitat, Proctophyllodes were highly abundant and Trouessartia were scarce on migratory blackcaps, but the abundance of both mite species converged in intermediate levels on sedentary blackcaps. Coexistence may come at a cost for Proctophyllodes, whose load decreased when Trouessartia was present on the host (the opposite was not true). Proctophyllodes load was positively correlated with host wing length (wings were longer in migratory blackcaps), while Trouessartia load was positively correlated to uropygial gland size (sedentary blackcaps had bigger glands), which might render migratory and sedentary blackcaps better hosts for Proctophyllodes and Trouessartia, respectively. Our results draw a complex scenario for mite co-existence in the same host species, where different mite species apparently take advantage of, or are constrained by, divergent host phenotypic traits. This expands our understanding of bird-mite interactions, which are usually viewed as less dynamic in relation to variation in host phenotype, and emphasizes the role of host phenotypic divergence in the diversification of symbiotic organisms.",2,"MA118","","","",""
"178","X.ISI.000273027500026","Female home range size is regulated by resource distribution and intraspecific competition: a long-term field study","Schradin, Carsten and Schmohl, Gabriela and Roedel, Heiko G. and Schoepf, Ivana and Treffler, Stella M. and Brenner, Julian and Bleeker, Maarten and Schubert, Melanie and Koenig, Barbara and Pillay, Neville","ANIMAL BEHAVIOUR","0003-3472",79,"1","195-203",2010,"10.1016/j.anbehav.2009.10.027","The size of an individual's home range is an important feature, influencing reproduction and survival, but it can vary considerably among both populations and individuals. The factors accounting for such variation are still poorly understood, and comprehensive long-term field studies considering various environmental factors that influence home range size are rare. We investigated the effects of seasonality, availability of food, cover, number of direct neighbours and the relative individual body mass on home range sizes in 125 adult female striped mice, Rhabdomys pumilio, in South Africa from 2004 to 2008. We used radiotelemetry to estimate home range sizes, trapping to determine the number of direct neighbours, and plant surveys in every home range to determine availability of food and cover. Home ranges were smaller when food quantity was high, many territorial neighbours were present, females had a relatively small body mass and during the nonbreeding season. We conclude that the availability of food resources and intraspecific competition are the main factors influencing home range size in female striped mice. Females enlarged their home ranges when territorial neighbours were few, and there was a significant positive correlation between home range size and quantity of food plants. This indicates that home range size might not reflect the minimal trade-off between access to resources that allow for a female's survival and lowest cost for defending and foraging in that area. Instead, we propose a hypothesis for future research that female striped mice occupy areas several times larger than needed to improve their fitness by providing resources for future offspring. (C) 2009 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2,"MA178","","","",""
"44","X.ISI.000408209700015","Sex-dependent implications of primary productivity and conspecific density on geographical body size variation in a newt: disentangling local, large scale and genetic factors","Penalver-Alcazar, Miguel and Martinez-Solano, Inigo and Sequeira, Fernando and Aragon, Pedro","JOURNAL OF BIOGEOGRAPHY","0305-0270",44,"9","2096-2108",2017,"10.1111/jbi.12993","Aim Geographical body size variation has interested biologists since the 19th century. However, there is no consensus regarding the mechanisms involved, especially in amphibians. At the intraspecific level, different approximations and hypotheses have addressed this problem, but no study has integrated information at different spatio-temporal ecological and (phylo) genetic scales whilst considering differences between sexes. We investigated the mechanisms involved in geographical body size variation in the Iberian newt (Lissotriton boscai), accounting for the main hypotheses potentially explaining variation in this phenotypic trait in amphibians. Location Iberian Peninsula. Methods We used a novel multivariate technique (partial least squares regression) that accounts for interdependence amongst variables whilst allowing for the inclusion of multiple local and macroscale predictors. We considered intraspecific genetic differentiation including information from the mitochondrial and nuclear genomes in populations representative of the species' distribution. We addressed causal hypotheses of heat conservation, temperature-related development, water and food availability, seasonality, competition and predation. Results Annual primary productivity and intraspecific competition were of greatest relevance to explain body size variation in females, whilst seasonality of primary productivity was more important in males. Differences between sexes are interpreted based on previous experiments on the behavioural ecology of this species. Main conclusions This study shows that sex-dependent implications of competition for food drive geographical body size variation in an urodele amphibian, supporting the density-resource hypothesis. Our results suggest that food availability, conspecific density and competition are important in explaining intraspecific body size variation in amphibians. This study highlights how selecting model species with an experimental background can help interpret geographical variation in phenotypic traits. We emphasize the value of simultaneously considering alternative hypotheses of phenotypic variation at different ecological and (phylo) genetic spatio-temporal scales in revealing potentially hidden relationships.",2,"MA44","","","",""
"158","X.ISI.000290370800007","Non-immunological defense in an evolutionary framework","Parker, Benjamin J. and Barribeau, Seth M. and Laughton, Alice M. and de Roode, Jacobus C. and Gerardo, Nicole M.","TRENDS IN ECOLOGY \& EVOLUTION","0169-5347",26,"5","242-248",2011,"10.1016/j.tree.2011.02.005","After parasite infection, invertebrates activate immune system-based defenses such as encapsulation and the signaling pathways of the innate immune system. However, hosts are often able to defend against parasites without using these mechanisms. The non-immunological defenses, such as behaviors that prevent or combat infection, symbiont-mediated defense, and fecundity compensation, are often ignored but can be important in host parasite dynamics. We review recent studies showing that heritable variation in these traits exists among individuals, and that they are costly to activate and maintain. We also discuss findings from genome annotation and expression studies to show how immune system-based and non-immunological defenses interact. Placing these studies into an evolutionary framework emphasizes their importance for future studies of host parasite coevolution.",2,"MA158","","","",""
"46","X.ISI.000404318100016","Hormonal underpinnings of status conflict: Testosterone and cortisol are related to decisions and satisfaction in the hawk-dove game","Mehta, Pranjal H. and DesJardins, Nicole M. Lawless and van Vugt, Mark and Josephs, Robert A.","HORMONES AND BEHAVIOR","0018-506X",92,"SI","141-154",2017,"10.1016/j.yhbeh.2017.03.009","A contribution to a special issue on Hormones and Human Competition. Testosterone is theorized to influence status-seeking behaviors such as social dominance and competitive behavior, but supporting evidence is mixed. The present study tested the roles of testosterone and cortisol in the hawk dove game, a dyadic economic decision-making paradigm in which earnings depend on one's own and the other player's choices. If one person selects the hawk strategy and the other person selects the dove strategy, the player who selected hawk attains a greater financial pay-off (status differentiation). The worst financial outcome occurs when both players choose the hawk strategy (status confrontation). Ninety-eight undergraduate students (42 men) provided saliva samples and played ten rounds of the hawk-dove game with another same-sex participant. In support of the hypothesis that testosterone is related to status concern, individuals higher in basal testosterone made more hawk decisions decisions that harmed the other player. Acute decreases in cortisol were also associated with more hawk decisions. There was some empirical support for the dual-hormone hypothesis as well: basal testosterone was positively related to satisfaction in the game among low basal-cortisol individuals but not among high basal-cortisol individuals. There were no significant sex differences in these hormonal effects. The present findings align with theories of hormones and status-seeking behavior at the individual level, but they also open up new avenues for research on hormone profiles at the collective level. Our results suggest that the presence of two or more high-testosterone members increases the likelihood of status confrontations over a limited resource that can undermine collective outcomes. (C) 2017 Elsevier Inc. All rights reserved.",2,"MA46","","","",""
"186","X.ISI.000263092500010","On the Morphology of Balaenophilus manatorum (Ortiz, Lalana, and Torres) (Copepoda: Harpacticoida) from Sea Turtles of the Mexican Pacific with Notes on Intraspecific Variation","Suarez-Morales, Eduardo and Lazo-Wasem, Eric A.","COMPARATIVE PARASITOLOGY","1525-2647",76,"1","84-92",2009,"10.1654/4351.1","Specimens of the ectoparasitic harpacticoid Balaenophilus manatorum (Ortiz, Lalana, and Torres, 1992) (Copepoda: Harpacticoida) were collected recently from the skin of sea turtles nesting along the Pacific coast of central Mexico. Adult specimens were compared with descriptions of specimens collected around Japan and Cuba. The intra-Pacific and the northwestern Atlantic specimens differed in subtle character states of the antennule, antennal exopod, swimming legs 1-4, and female and male fifth legs. Differences were within the range of intraspecific variability, as inferred from (1) the level of morphological divergence of B. manatorum? from its only congener, Balaenophilus unisetus, also an epibiont of marine vertebrates. (2) the broad distribution of both species as a result of their widely ranging hosts, and (3) morphological differences, which were not geographically consistent. No differences were found between specimens collected from different host species, which are presumed to have different migration patterns and geographic ranges.",2,"MA186","","","",""
"218","X.ISI.000232881600009","Wolbachia requirement for oogenesis: occurrence within the genus Asobara (Hymenoptera, Braconidae) and evidence for intraspecific variation in A-tabida","Dedeine, F and Bouletreau, M and Vavre, F","HEREDITY","0018-067X",95,"5","394-400",2005,"10.1038/sj.hdy.6800739","Wolbachia are symbiotic bacteria that induce a diversity of phenotypes on their numerous invertebrate host species. In the wasp Asobara tabida (Braconidae), each individual harbours three Wolbachia strains: wAtab3, which is required for host oogenesis, and wAtab1 and wAtab2, that do not have this function but induce cytoplasmic incompatibility. In this study, we surveyed and identified Wolbachia strains in four additional Asobara species. We detected Wolbachia in one of these species, but both the identity ( based on wsp gene) and prevalence of the Wolbachia detected in natural population indicate that this host species is not dependent on Wolbachia for oogenesis. We also compared A. tabida lines of different geographical origin for their dependence on Wolbachia. All individuals from 16 A. tabida lines proved to be infected by the three Wolbachia strains wAtab1, wAtab2 and wAtab3, but, interestingly, we found variation among lines in the degree to which females were dependent on Wolbachia to produce their oocytes. In three lines, aposymbiotic females ( cured from the three Wolbachia strains by antibiotics) can produce some oocytes. However, these aposymbiotic females produce fewer and smaller oocytes than symbiotic ones, and the larvae they produce die before full development. Thus, depending on which nuclear genotype they have, A. tabida females depend on Wolbachia either because they fail to produce any oocyte or because the few oocytes they do produce generate unviable offspring. We discuss the implications of these findings for the understanding of the physiological and genetic deficiency of aposymbiotic females.",2,"MA218","","","",""
