"","label","title","author","journal","issn","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female)"
"115","X.ISI.000325765800014","Intra-group relatedness affects parental and helper investment rules in offspring care","Savage, James L. and Russell, Andrew F. and Johnstone, Rufus A.","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443",67,"11","1855-1865",2013,"10.1007/s00265-013-1595-5","In any system where multiple individuals jointly contribute to rearing offspring, conflict is expected to arise over the relative contributions of each carer. Existing theoretical work on the conflict over care has: (a) rarely considered the influence of tactical investment during offspring production on later contributions to offspring rearing; (b) concentrated mainly on biparental care, rather than cooperatively caring groups comprising both parents and helpers; and (c) typically ignored relatedness between carers as a potential influence on investment behavior. We use a game-theoretical approach to explore the effects of female production tactics and differing group relatedness structures on the expected rearing investment contributed by breeding females, breeding males, and helpers in cooperative groups. Our results suggest that the breeding female should pay higher costs overall when helpful helpers are present, as she produces additional offspring to take advantage of the available care. We find that helpers related to offspring through the breeding female rather than the breeding male should contribute less to care, and decrease their contribution as group size increases, because the female refrains from producing additional offspring to exploit them. Finally, within-group variation in helper relatedness also affects individual helper investment rules by inflating the differences between the contributions to care of dissimilar helpers. Our findings underline the importance of considering maternal investment decisions during offspring production to understand investment across the entire breeding attempt, and provide empirically testable predictions concerning the interplay between maternal, paternal and helper investment and how these are modified by different relatedness structures.",2,"MA115","","","",""
"229","X.ISI.000186738000019","Slow algae, fast fungi: exceptionally high nucleotide substitution rate differences between lichenized fungi Omphalina and their symbiotic green algae Coccomyxa","Zoller, S and Lutzoni, F","MOLECULAR PHYLOGENETICS AND EVOLUTION","1055-7903",29,"3","629-640",2003,"10.1016/S1055-7903(03)00215-X","Omphalina basidiolichens are obligate mutualistic associations of a fungus of the genus Omphalina (the exhabitant) and a unicellular green alga of the genus Coccomyxa (the inhabitant). It has been suggested that symbiotic inhabitants have a lower rate of genetic change compared to exhabitants because the latter are more exposed to abiotic environmental variation and competition from other organisms. In order to test this hypothesis we compared substitution rates in the nuclear ribosomal internal transcribed spacer region (ITS1, 5.8S, ITS2) among fungal species with rates among their respective algal symbionts. To ensure valid comparisons, only taxon pairs (12) with a common evolutionary history were used. On average, substitution rates in the ITS1 portion of Omphalina pairs were 27.5 times higher than rates in the corresponding pairs of Coccomyxa since divergence from their respective ancestor at the base of the Omphalina/Coccomyxa lineage. Substitution rates in the 5.8S and the ITS2 portions were 2.4 and 18.0 times higher, respectively. The highest rate difference (43.0) was found in the ITS1 region. These are, to our knowledge, the highest differences of substitution rates reported for symbiotic organisms. We conclude that the Omphalina model system conforms to the proposed hypothesis of lower substitution rates in the inhabitant, but that the mode of transmission of the inhabitant (vertical versus horizontal) could be a prevailing factor in the regulation of unequal rates of nucleotide substitution between co-evolving symbionts. Our phylogenetic study of Coccomyxa revealed three main lineages within this genus, corresponding to free-living :Coccomyxa, individuals isolated from basidiolichens Omphalina and Coccomyxa isolated from ascolichens belonging to the Peltigerales. (C) 2003 Elsevier Science (USA). All rights reserved.",2,"MA229","","","",""
"211","X.ISI.000242897000014","Ant stoichiometry: elemental homeostasis in stage-structured colonies","Kay, A. D. and Rostampour, S. and Sterner, R. W.","FUNCTIONAL ECOLOGY","0269-8463",20,"6","1037-1044",2006,"10.1111/j.1365-2435.2006.01187.x","1. Organisms facing variation in food quality maintain elemental composition within limited bounds. Such stoichiometric homeostasis has often been considered a species-specific parameter, but stoichiometry can also vary intraspecifically across life stages, sexes and sizes. In colonial organisms with overlapping generations, stoichiometric variation among stages could lead to flexibility in colony-level elemental composition due to changes in internal demography 2. We examine how the balance of energy (sucrose) and nutrients (prey) affects growth rate and carbon : nitrogen : phosphorus (C : N : P) homeostasis in a eusocial insect, the pavement ant Tetramorium caespitum. 3. Colony growth depended heavily on prey availability. However, sucrose scarcity led to higher worker mortality and production of smaller workers, suggesting sucrose availability will affect colony-level performance in a competitive environment. 4. In contrast, C : N : P stoichiometry of larvae, pupae, and workers varied mostly with sucrose availability. Biomass P content within life stages was lower in colonies receiving less access to sucrose. We suggest this difference arose primarily from shifts in individual ant mass coupled with negative P-body mass relationships. 5. Life stages differed considerably in elemental composition, and resource conditions affected colony stage structure. Nevertheless, variation in colony-level stoichiometry primarily reflected compositional differences within stages rather than shifts in internal demography.",2,"MA211","","","",""
"191","X.ISI.000259281500013","Mating strategies and aggressive combat in wingless neotropical fig wasp males","Santinelo Pereira, Rodrigo Augusto and do Prado, Angelo Pires","BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY","1516-8913",51,"4","753-760",2008,"10.1590/S1516-89132008000400013","The aim of this work was to study the wingless males of pollinating (Pegoscapus tonduzi) and two nonpollinating fig wasp species, genus Idarnes, associated with figs (Ficus citrifolia) in Brazil to answer the following questions: 1) Do wingless males of Idarnes spp. and P. tonduzi show different male-male competition strategies?; and, 2) Do the injury within-species variables correlate with fig/population features? Consistently higher injury levels were observed in the two species of Idarnes than in the pollinator species. The results suggested that aggressive confrontations were involved in the mating strategies of Idarnes, whereas non-aggressive strategies were shown by males of P. tonduzi. Generally, injury variables in Idarnes spp. correlated positively with the male encounter rate and negatively with the fig size, thus supporting the contest competition theory. The results pointed out that different species under similar local conditions might follow distinct evolutionary histories. Within species, natural-history particularities might have some influence upon quantified injury levels in wingless males.",2,"MA191","","","",""
"15","X.ISI.000449427300011","Modelling the co-evolution of indirect genetic effects and inherited variability","Marjanovic, Jovana and Mulder, Han A. and Ronnegard, Lars and Bijma, Piter","HEREDITY","0018-067X",121,"6","631-647",2018,"10.1038/s41437-018-0068-z","When individuals interact, their phenotypes may be affected not only by their own genes but also by genes in their social partners. This phenomenon is known as Indirect Genetic Effects (IGEs). In aquaculture species and some plants, however, competition not only affects trait levels of individuals, but also inflates variability of trait values among individuals. In the field of quantitative genetics, the variability of trait values has been studied as a quantitative trait in itself, and is often referred to as inherited variability. Such studies, however, consider only the genetic effect of the focal individual on trait variability and do not make a connection to competition. Although the observed phenotypic relationship between competition and variability suggests an underlying genetic relationship, the current quantitative genetic models of IGE and inherited variability do not allow for such a relationship. The lack of quantitative genetic models that connect IGEs to inherited variability limits our understanding of the potential of variability to respond to selection, both in nature and agriculture. Models of trait levels, for example, show that IGEs may considerably change heritable variation in trait values. Currently, we lack the tools to investigate whether this result extends to variability of trait values. Here we present a model that integrates IGEs and inherited variability. In this model, the target phenotype, say growth rate, is a function of the genetic and environmental effects of the focal individual and of the difference in trait value between the social partner and the focal individual, multiplied by a regression coefficient. The regression coefficient is a genetic trait, which is a measure of cooperation; a negative value indicates competition, a positive value cooperation, and an increasing value due to selection indicates the evolution of cooperation. In contrast to the existing quantitative genetic models, our model allows for co-evolution of IGEs and variability, as the regression coefficient can respond to selection. Our simulations show that the model results in increased variability of body weight with increasing competition. When competition decreases, i.e., cooperation evolves, variability becomes significantly smaller. Hence, our model facilitates quantitative genetic studies on the relationship between IGEs and inherited variability. Moreover, our findings suggest that we may have been overlooking an entire level of genetic variation in variability, the one due to IGEs.",2,"MA15","","","",""
"259","X.ISI.A1996UP21900015","Experimental demonstration of no effect by the cleaner wrasse Labroides dimidiatus (Cuvier and Valenciennes) on the host fish Pomacentrus moluccensis (Bleeker)","Grutter, AS","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","0022-0981",196,"1-2","285-298",1996,"10.1016/0022-0981(95)00135-2","To date, the benefits of cleaner fish to host fish have not been clearly identified. This study investigates the effect of the cleaner wrasse Labroides dimidiatus (Cuvier and Valenciennes) on the host damselfish Pomacentrus moluccensis (Bleeker) by excluding all cleaner fish from 8 reefs for 6 months at Lizard Island, Great Barrier Reef. The subsequent effect of cleaner removal on parasites (total number, number per category of parasite, and size of parasite) and host abundance was estimated and compared to control reefs where L. dimidiatus were not removed. Parasite loads of P. moluccensis were low (usually 0-3 per fish) on all reefs after the experiment, and were dominated by small copepod larvae (260-1370 mu m). The removal of L. dimidiatus had no detectable effect on the mean number of parasites per host, either across all parasite taxa combined or by each parasite taxon individually. Nor did I detect a difference in the mean size of the most abundant copepod species. There was, however, a significant difference in the mean number of parasites (combining all species) per fish among reefs irrespective of the presence of L. dimidiatus. This difference was not correlated with P. moluccensis abundance. The abundance of P. moluccensis declined during the experiment (7-33\%) but the decline did not differ among reefs with and without L. dimidiatus. This result suggests that P. moluccensis did not leave reefs and seek cleaning elsewhere, nor did this host suffer increased mortality in the absence of L. dimidiatus. The absence of any detectable effect of L. dimidiatus on the parasites of P. moluccensis is compatible with the selective feeding habits of L. dimidiatus. It is likely that factors other than ectoparasite removal motivate P. moluccensis to seek cleaning.",2,"MA259","","","",""
"34","X.ISI.000428366200003","Interindividual patterns of resource use in three subtropical Atlantic Forest frogs","Carvalho-Rocha, Vitor and Lopes, Benedito Cortes and Neckel-Oliveira, Selvino","AUSTRAL ECOLOGY","1442-9985",43,"2","150-158",2018,"10.1111/aec.12552","Studies with disparate taxa suggest that generalist populations are composed of relatively specialist individuals that use a narrow part of a population's resource pool. Models based on optimum diet theory (ODT) can be used to predict different patterns of variation in resource use among individuals. In this work, we investigated the diet and measured the degree of individual specialization of three anuran species, Hypsiboas leptolineatus, Pseudis cardosoi and Scinax granulatus, from the Atlantic Forest of southern Brazil. The study is based on gut content obtained using a stomach-flushing technique. Additionally, we tested for a correlation between the individuals' diet and morphological variation. Furthermore, we applied methods based on network theory to investigate patterns of resource use among individuals of each species. All three study species showed generalized diets and significant values of individual specialization. However, we did not find any correlation between diet and morphology, indicating that diet variation is not a consequence of morphological trade-offs. The individual-resource networks of H.leptolineatus and S.granulatus showed a nested pattern. This result indicates the presence of individuals with more diverse diets than others, and the diets of the more specialist individuals are a predictable subset of the diets of the more generalist ones. The individual-resource network of P.cardosoi did not show a distinct pattern, diverging from what was predicted by optimal diet theory-based models. Although nested or modular patterns are commonly found in individual-resource networks, our results indicate that they are not ubiquitous and that random patterns can also be found.",2,"MA34","","","",""
"204","X.ISI.000249981500002","Models of density-dependent genic selection and a new rock-paper-scissors social system","Sinervo, Barry and Heulin, Benoit and Surget-Groba, Yann and Clobert, Jean and Miles, Donald B. and Corl, Ammon and Chaine, Alexis and Davis, Alison","AMERICAN NATURALIST","0003-0147",170,"5","663-680",2007,"10.1086/522092","We describe new ESS models of density regulation driven by genic selection to explain the cyclical dynamics of a social system that exhibits a rock-paper-scissors (RPS) set of three alternative strategies. We tracked changes in morph frequency and fitness of Lacerta vivipara and found conspicuous RPS cycles. Morphs of Uta and Lacerta exhibited parallel survival-performance trade-offs. Frequency cycles in both species of lizards are driven by genic selection. In Lacerta, frequency of each allele in adult cohorts had significant impacts on juvenile recruitment, similar to mutualistic, altruistic, and antagonistic relations of RPS alleles in Uta. We constructed evolutionarily stable strategy (ESS) models in which adults impact juvenile recruitment as a function of self versus nonself color recognition. ESS models suggest that the rapid 4-year RPS cycles exhibited by Lacerta are not possible unless three factors are present: behaviors evolve that discriminate self versus nonself morphs at higher rates than random, self- versus non-self-recognition contributes to density regulation, and context-dependent mate choice evolves in females, which choose sire genotypes to enhance progeny survival. We suggest genic selection coupled to density regulation is widespread and thus fundamental to theories of social system evolution as well as theories of population regulation in diverse animal taxa.",2,"MA204","","","",""
"107","X.ISI.000332640400027","Social complementation and growth advantages promote socially defective bacterial isolates","Kraemer, Susanne A. and Velicer, Gregory J.","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452",281,"1781",NA,2014,"10.1098/rspb.2014.0036","Social interactions among diverse individuals that encounter one another in nature have often been studied among animals but rarely among microbes. For example, the evolutionary forces that determine natural frequencies of bacteria that express cooperative behaviours at low levels remain poorly understood. Natural isolates of the soil bacterium Myxococcus xanthus sampled from the same fruiting body often vary in social phenotypes, such as group swarming and multicellular development. Here, we tested whether genotypes highly proficient at swarming or development might promote the persistence of less socially proficient genotypes from the same fruiting body. Fast-swarming strains complemented slower isolates, allowing the latter to keep pace with faster strains in mixed groups. During development, one low-sporulating strain was antagonized by high sporulators, whereas others with severe developmental defects had those defects partially complemented by high-sporulating strains. Despite declining in frequency overall during competition experiments spanning multiple cycles of development, developmentally defective strains exhibited advantages during the growth phases of competitions. These results suggest that microbes with low-sociality phenotypes often benefit from interacting with more socially proficient strains. Such complementation may combine with advantages at other traits to increase equilibrium frequencies of low-sociality genotypes in natural populations.",2,"MA107","","","",""
"74","X.ISI.000363763100009","When cooperation begets cooperation: the role of key individuals in galvanizing support","McAuliffe, Katherine and Wrangham, Richard and Glowacki, Luke and Russell, Andrew F.","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436",370,"1683",NA,2015,"10.1098/rstb.2015.0012","Life abounds with examples of conspecifics actively cooperating to a common end, despite conflicts of interest being expected concerning how much each individual should contribute. Mathematical models typically find that such conflict can be resolved by partial-response strategies, leading investors to contribute relatively equitably. Using a case study approach, we show that such model expectations can be contradicted in at least four disparate contexts: (i) bi-parental care; (ii) cooperative breeding; (iii) cooperative hunting; and (iv) human cooperation. We highlight that: (a) marked variation in contributions is commonplace; and (b) individuals can often respond positively rather than negatively to the contributions of others. Existing models have surprisingly limited power in explaining these phenomena. Here, we propose that, although among-individual variation in cooperative contributions will be influenced by differential costs and benefits, there is likely to be a strong genetic or epigenetic component. We then suggest that selection can maintain high investors (key individuals) when their contributions promote support by increasing the benefits and/or reducing the costs for others. Our intentions are to raise awareness in-and provide testable hypotheses of-two of the most poorly understood, yet integral, questions regarding cooperative ventures: why do individuals vary in their contributions and when does cooperation beget cooperation?",2,"MA74","","","",""
