"","label","title","author","journal","issn","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female)"
"161","X.ISI.000287302400010","Evolution of culture-dependent discriminate sociality: a gene-culture coevolutionary model","Ihara, Yasuo","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436",366,"1566","889-900",2011,"10.1098/rstb.2010.0247","Animals behave cooperatively towards certain conspecifics while being indifferent or even hostile to others. The distinction is made primarily according to kinship as predicted by the kin selection theory. With regards to humans, however, this is not always the case; in particular, humans sometimes exhibit a discriminate sociality on the basis of culturally transmitted traits, such as personal ornaments, languages, rituals, etc. This paper explores the possibility that the human faculty of cultural transmission and resultant cultural variation among individuals may have facilitated the evolution of discriminate sociality in humans. To this end, a gene-culture coevolutionary model is developed focusing on competition over control of resource as a context in which discriminate sociality may have evolved. Specifically, two types of culture-dependent discriminate sociality are considered: ingroup favouritism, with ingroup and outgroup being distinguished by the presence or absence of a cultural trait; and prestige hierarchies, with the prestige being conferred on the bearer of a cultural trait. The model specifies the conditions under which emergence and evolutionary stability of the two types of discriminate sociality are promoted by the presence of cultural variation among individuals.",2,"MA161","","","",""
"124","X.ISI.000317472000022","The effects of behavioral plasticity and leadership on the predictions of optimal skew models","Hamilton, Ian M.","BEHAVIORAL ECOLOGY","1045-2249",24,"2","444-456",2013,"10.1093/beheco/ars182","Skew models predict how reproduction or resources produced by the group are divided between dominant and subordinate group members. These include transactional models, in which one group member may allocate some group productivity to another to prevent group dissolution and tug-of-war inefficiency models, in which group members compete for access to resources at a cost to group productivity. Although skew models involve a transactional or competitive interaction among group members, most existing models do not allow individuals to respond to new information about the strategy of their group mate. Here, I expand transactional and tug-of-war models to allow one individual (the follower) to respond plastically to a fixed strategy of its partner (the leader). I solve for the Stackelberg equilibrium conditions for each model. For the transactional model, leadership results in a greater share of group productivity to the leader compared with models that do not include leadership. When the follower's information about the leader's strategy is perfect, the equilibrium division of productivity does not vary with relatedness, in contrast to the predictions of previous skew models, and the effects of ecological variables may change. In the tug-of-war model, leadership influences equilibrium investment in competition only if relatedness is greater than zero. Dominant leaders receive a larger share of group productivity, but group productivity declines and grouping is mutually beneficial over a smaller parameter range than in the absence of leadership. Subordinate leaders receive a smaller share of group productivity, but benefit from overall higher group productivity.",2,"MA124","","","",""
"108","X.ISI.000332002300018","Plant-animal interactions in suburban environments: implications for floral evolution","Irwin, Rebecca E. and Warren, Paige S. and Carper, Adrian L. and Adler, Lynn S.","OECOLOGIA","0029-8549",174,"3","803-815",2014,"10.1007/s00442-013-2797-2","Plant interactions with mutualists and antagonists vary remarkably across space, and have played key roles in the ecology and evolution of flowering plants. One dominant form of spatial variation is human modification of the landscape, including urbanization and suburbanization. Our goal was to assess how suburbanization affected plant-animal interactions in Gelsemium sempervirens in the southeastern United States, including interactions with mutualists (pollination) and antagonists (nectar robbing and florivory). Based on differences in plant-animal interactions measured in multiple replicate sites, we then developed predictions for how these differences would affect patterns of natural selection, and we explored the patterns using measurements of floral and defensive traits in the field and in a common garden. We found that Gelsemium growing in suburban sites experienced more robbing and florivory as well as more heterospecific but not conspecific pollen transfer. Floral traits, particularly corolla length and width, influenced the susceptibility of plants to particular interactors. Observational data of floral traits measured in the field and in a common garden provided some supporting but also some conflicting evidence for the hypothesis that floral traits evolved in response to differences in species interactions in suburban vs. wild sites. However, the degree to which plants can respond to any one interactor may be constrained by correlations among floral morphological traits. Taken together, consideration of the broader geographic context in which organisms interact, in both suburban and wild areas, is fundamental to our understanding of the forces that shape contemporary plant-animal interactions and selection pressures in native species.",2,"MA108","","","",""
"36","X.ISI.000426003200008","Rapid evolution of symbiont-mediated resistance compromises biological control of aphids by parasitoids","Kach, Heidi and Mathe-Hubert, Hugo and Dennis, Alice B. and Vorburger, Christoph","EVOLUTIONARY APPLICATIONS","1752-4571",11,"2","220-230",2018,"10.1111/eva.12532","There is growing interest in biological control as a sustainable and environmentally friendly way to control pest insects. Aphids are among the most detrimental agricultural pests worldwide, and parasitoid wasps are frequently employed for their control. The use of asexual parasitoids may improve the effectiveness of biological control because only females kill hosts and because asexual populations have a higher growth rate than sexuals. However, asexuals may have a reduced capacity to track evolutionary change in their host populations. We used a factorial experiment to compare the ability of sexual and asexual populations of the parasitoid Lysiphlebus fabarum to control caged populations of black bean aphids (Aphis fabae) of high and low clonal diversity. The aphids came from a natural population, and one-third of the aphid clones harbored Hamiltonella defensa, a heritable bacterial endosymbiont that increases resistance to parasitoids. We followed aphid and parasitoid population dynamics for 3months but found no evidence that the reproductive mode of parasitoids affected their effectiveness as biocontrol agents, independent of host clonal diversity. Parasitoids failed to control aphids in most cases, because their introduction resulted in strong selection for clones protected by H.defensa. The increasingly resistant aphid populations escaped control by parasitoids, and we even observed parasitoid extinctions in many cages. The rapid evolution of symbiont-conferred resistance in turn imposed selection on parasitoids. In cages where asexual parasitoids persisted until the end of the experiment, they became dominated by a single genotype able to overcome the protection provided by H.defensa. Thus, there was evidence for parasitoid counteradaptation, but it was generally too slow for parasitoids to regain control over aphid populations. It appears that when pest aphids possess defensive symbionts, the presence of parasitoid genotypes able to overcome symbiont-conferred resistance is more important for biocontrol success than their reproductive mode.",2,"MA36","","","",""
"67","X.ISI.000374563600003","The social context of a territorial dispute differentially influences the way individuals in breeding pairs coordinate their aggressive tactics","Schuppe, Eric R. and Sanin, Gloria D. and Fuxjager, Matthew J.","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443",70,"5","673-682",2016,"10.1007/s00265-016-2088-0","In diverse species, individuals coordinate behavior to accomplish shared goals or tasks. Such coordination, however, often occurs selectively, and the contextual information animals use to determine when they coordinate and when they do not is unclear. We investigate this issue in the highly territorial downy woodpecker (Picoides pubescens) by exploring how individuals within a social breeding pair differentially modulate coordinated aggressive responses during graded simulated territorial intrusions (STIs). Analyses show that resident pairs mount a more robust aggressive response to STIs that represent a greater threat. Moreover, in this social context, pair members produce contact vocalizations in a way that predicts their partner's aggressive behavior. We also show that, when presented with a low threat, individuals that first respond to intrusions decrease their aggressive output once their partner attends to the stimulus; the partner, in turn, increases their levels of aggressive behavior. This does not occur in high-threat STIs, where both partners maintain high levels of aggression throughout the entire encounter. Together, these results show that individuals within a pair flexibly adjust their aggressive tactics in response to different social competitive contexts, and this includes adjusting the way in which individuals coordinate certain aspects of their agonistic repertoire. We speculate that this ability reflects an adaptive mechanism that allows individuals to fine-tune territorial tactics to reduce overall costs of aggression. Although research has demonstrated that individuals often coordinate their behavior to accomplish common tasks, little is known about the factors that determine when such coordination occurs and when it does not. We address this issue for the first time in the highly territorial downy woodpecker by testing how the level of threat associated with a territorial interaction influences the coordination of defensive behavior. We find that, when facing intruders that pose a greater threat, residents adjust levels of aggressive output in response to the number of vocalizations produced by their breeding partner. By contrast, this relationship is not observed when pairs face intruders that pose a relatively lower threat. Our data therefore provide striking evidence that coordination in defensive tactics depends on the residents' appraisal of the social context, such that fiercer competition is associated with greater behavioral coordination.",2,"MA67","","","",""
"24","X.ISI.000438464300009","Deciphering the Interdependence between Ecological and Evolutionary Networks","Melian, Carlos J. and Matthews, Blake and de Andreazzi, Cecilia S. and Rodriguez, Jorge P. and Harmon, Luke J. and Fortuna, Miguel A.","TRENDS IN ECOLOGY \& EVOLUTION","0169-5347",33,"7","504-512",2018,"10.1016/j.tree.2018.04.009","Biological systems consist of elements that interact within and across hierarchical levels. For example, interactions among genes determine traits of individuals, competitive and cooperative interactions among individuals influence population dynamics, and interactions among species affect the dynamics of communities and ecosystem processes. Such systems can be represented as hierarchical networks, but can have complex dynamics when interdependencies among levels of the hierarchy occur. We propose integrating ecological and evolutionary processes in hierarchical networks to explore interdependencies in biological systems. We connect gene networks underlying predator-prey trait distributions to food webs. Our approach addresses longstanding questions about how complex traits and intraspecific trait variation affect the interdependencies among biological levels and the stability of meta-ecosystems.",2,"MA24","","","",""
"77","X.ISI.000367562500024","A symbiont's dispersal strategy: condition-dependent dispersal underlies predictable variation in direct transmission among hosts","Skelton, James and Creed, Robert P. and Brown, Bryan L.","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452",282,"1819",NA,2015,"10.1098/rspb.2015.2081","Direct horizontal transmission of pathogenic and mutualistic symbionts has profound consequences for host and symbiont fitness alike. While the importance of contact rates for transmission is widely recognized, the processes that underlie variation in transmission during contact are rarely considered. Here, we took a symbiont's perspective of transmission as a form of dispersal and adopted the concept of condition-dependent dispersal strategies from the study of free-living organisms to understand and predict variation in transmission in the cleaning symbiosis between crayfish and ectosymbiotic branchiobdellidan worms. Field study showed that symbiont reproductive success was correlated with host size and competition among worms for microhabitats. Laboratory experiments demonstrated high variability in transmission among host contacts. Moreover, symbionts were more likely to disperse when host size and competition for microhabitat created a fitness environment below a discrete minimum threshold. A predictive model based on a condition-dependent symbiont dispersal strategy correctly predicted transmission in 95\% of experimental host encounters and the exact magnitude of transmission in 67\%, both significantly better than predictions that assumed a fixed transmission rate. Our work provides a dispersalbased understanding of symbiont transmission and suggests adaptive symbiont dispersal strategies can explain variation in transmission dynamics and complex patterns of host infection.",2,"MA77","","","",""
"96","X.ISI.000349230400009","Dominance hierarchies and associated signalling in a cooperative passerine","Rat, Margaux and van Dijk, Rene E. and Covas, Rita and Doutrelant, Claire","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443",69,"3","437-448",2015,"10.1007/s00265-014-1856-y","In animal societies, individuals face the dilemma of whether to cooperate or to compete over a shared resource. Two intertwined mechanisms may help to resolve this enduring evolutionary dilemma by preventing conflicts and thereby mediating the costs of living in groups: the establishment of dominance hierarchies and the use of `badge-of-status' for signalling dominance. We investigated these two mechanisms in the sociable weaver (Philetairus socius), a colonial and social passerine which cooperates over multiple tasks. We examined the sociable weavers' dominance structure in 2 years by recording 2563 agonistic interactions between 152 individuals observed at a feeder at eight colonies. We tested which individual traits, including sex, age, relatedness and two melanin-based plumage traits, predicted variation in social status. First, using social network analysis, we found that colonies were structured by strongly ordered hierarchies which were stable between years. Second, medium-ranked birds engaged more in aggressive interactions than highly ranking individuals, suggesting that competition over food is most pronounced among birds of intermediate social status. Third, we found that colony size and kinship influenced agonistic interactions, so aggression was less pronounced in smaller colonies and among relatives. Finally, within- and between-individual variation in social status and the presence of an individual at the feeder were associated with variation in bib size, as predicted by the badge-of-status hypothesis. These results suggest that dominance hierarchies and bib size mediate conflicts in sociable weaver societies.",2,"MA96","","","",""
"199","X.ISI.000251810600012","Determinants of reproductive success in dominant female meerkats","Hodge, Sarah J. and Manica, A. and Flower, T. P. and Clutton-Brock, T. H.","JOURNAL OF ANIMAL ECOLOGY","0021-8790",77,"1","92-102",2008,"10.1111/j.1365-2656.2007.01318.x","1. In cooperative societies with high reproductive skew, selection on females is likely to operate principally through variation in the probability of acquiring dominant status and variation in reproductive success while dominant. Despite this, few studies of cooperative societies have investigated the factors that influence which females become dominant, and/or their reproductive output while in the dominant position. 2. Here we use long-term data from a wild meerkat population to describe variation in the breeding success of dominant female meerkats Suricata suricatta and investigate its causes. 3. Female meerkats compete intensely for breeding positions, and the probability of acquiring the breeding role depends upon a female's age in relation to competitors and her weight, both at the time of dominance acquisition and early in life. 4. Once dominant, individual differences in breeding success depend principally on the duration of dominance tenure. Females remain for longer in the dominant position if they are heavier than their competitors at the start of dominance, and if the number of adult female competitors at the start is low. 5. Female breeding success is also affected by variation in fecundity and pup survival, both of which increase with group size. After controlling for these effects, female body weight has a positive influence on breeding rate and litter size, while the number of adult female competitors reduces litter survival. 6. These findings suggest that selection for body weight and competitive ability will be high in female meerkats, which may moderate their investment in cooperative activities. We suggest that similar consequences of competition may occur among females in other cooperative societies where the benefits of attaining dominance status are high.",2,"MA199","","","",""
"230","X.ISI.000220632600009","Some evolutionary aspects of the food-procuring group behavior in phylogenesis of primates","Malyukova, IV and Uvarova, IA and Molotova, NG and Nikitin, VS","JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY","0022-0930",39,"6","702-713",2003,"10.1023/B:JOEY.0000023490.87440.ea","The peculiarities were studied of the intragroup competitive and cooperative behavior of primates differing by the level of phylogenetic development, beginning from low-organized species of the higher primates to high-organized anthropoid monkeys (Callithrix jacchus, Cebus apella, Macaca mulatta, Papio hamaofrijas, Pan troglodytes). It has been shown that in all monkeys, under conditions of competitive feeding situation, there were changes of the complex behavioral forms observed at individual learning. Under conditions of the activity in pairs, the females of platyrrhine (New World) and lower narrow-nose (Old World) monkeys lost the possibility to realize the skill and food needs, so the programmed tasks were solved predominantly by the males. In chimpanzees, the change of indices of instrumental activity involved to the equal degree the male and female, and solution of the alternation task was higher in individual experiments. The age differences were revealed in the competitive behavior of chimpanzees in group. The realization of formed skills depended on the complex of factors including the requirements dominating in the given situation and the age and typological peculiarities, as well as the social rank of each monkey in the community. In rhesus macaques the capability for cooperative interaction was revealed under conditions of complex operant activity.",2,"MA230","","","",""
