"","label","title","author","journal","issn","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female)"
"26","X.ISI.000434094400018","Intraspecific variation in indirect plant-soil feedbacks influences a wetland plant invasion","Allen, Warwick J. and Meyerson, Laura A. and Flick, Andrew J. and Cronin, James T.","ECOLOGY","0012-9658",99,"6","1430-1440",2018,"10.1002/ecy.2344","Plant-soil feedbacks (PSFs) influence plant competition via direct interactions with pathogens and mutualists or indirectly via apparent competition/mutualisms (i.e., spillover to co-occurring plants) and soil legacy effects. It is currently unknown how intraspecific variation in PSFs interacts with the environment (e.g., nutrient availability) to influence competition between native and invasive plants. We conducted a fully crossed multi-factor greenhouse experiment to determine the effects of Phragmites australis rhizosphere soil biota, interspecific competition, and nutrient availability on biomass of replicate populations from one native and two invasive lineages of common reed (P.australis) and a single lineage of native smooth cordgrass (Spartina alterniflora). Harmful soil biota consistently dominated PSFs involving all three P.australis lineages, reducing biomass by 10\%. Indirect PSFs (i.e., soil biota spillover) from the two invasive P.australis lineages reduced S.alterniflora biomass by 7\%, whereas PSFs from the native P.australis lineage increased S.alterniflora biomass by 6\%. Interestingly, interspecific competition and PSFs interacted to weaken their respective impacts on S.alterniflora, whereas they exerted synergistic negative effects on P.australis. Phragmitesaustralis soil biota decreased S.alterniflora biomass when grown alone (i.e., a soil legacy), but increased S.alterniflora biomass when grown with P.australis, suggesting that P.australis recruits harmful generalist soil biota or facilitates S.alterniflora via spillover (i.e., apparent mutualism). Soil biota also reduced interspecific competition impacts on S.alterniflora, although it remained competitively inferior to P.australis across all treatments. Competitive interactions and responses to nutrients did not differ among P.australis lineages, indicating that interspecific competition and nutrient deposition may not be key drivers of P.australis invasion in North America. Although soil biota, interspecific competition, and nutrient availability appear to have no direct impact on the success of invasive P.australis lineages in North America, intraspecific lineage variation in indirect spillover and soil legacies from P.australis occur and may have important implications for co-occurring native species and restoration of invaded habitats. Our study integrates multiple factors linked to plant invasions, highlighting that indirect interactions are likely commonplace in influencing plant community dynamics and invasion success and impacts.",2,"MA26","","","",""
"64","X.ISI.000381225300008","Variable ecological conditions promote male helping by changing banded mongoose group composition","Marshall, Harry H. and Sanderson, Jennifer L. and Mwanghuya, Francis and Businge, Robert and Kyabulima, Solomon and Hares, Michelle C. and Inzani, Emma and Kalema-Zikusoka, Gladys and Mwesige, Kenneth and Thompson, Faye J. and Vitikainen, Emma I. K. and Cant, Michael A.","BEHAVIORAL ECOLOGY","1045-2249",27,"4","978-987",2016,"10.1093/beheco/arw006","Ecological conditions are expected to have an important influence on individuals' investment in cooperative care. However, the nature of their effects is unclear: both favorable and unfavorable conditions have been found to promote helping behavior. Recent studies provide a possible explanation for these conflicting results by suggesting that increased ecological variability, rather than changes in mean conditions, promote cooperative care. However, no study has tested whether increased ecological variability promotes individual-level helping behavior or the mechanisms involved. We test this hypothesis in a long-term study population of the cooperatively breeding banded mongoose, Mungos mungo, using 14 years of behavioral and meteorological data to explore how the mean and variability of ecological conditions influence individual behavior, body condition, and survival. Female body condition was more sensitive to changes in rainfall leading to poorer female survival and pronounced male-biased group compositions after periods of high rainfall variability. After such periods, older males invested more in helping behavior, potentially because they had fewer mating opportunities. These results provide the first empirical evidence for increased individual helping effort in more variable ecological conditions and suggest this arises because of individual differences in the effect of ecological conditions on body condition and survival, and the knock-on effect on social group composition. Individual differences in sensitivity to environmental variability, and the impacts this has on the internal structure and composition of animal groups, can exert a strong influence on the evolution and maintenance of social behaviors, such as cooperative care.",2,"MA64","","","",""
"102","X.ISI.000345213600002","Insect-flower interactions: network structure in organic versus conventional vineyards","Kehinde, T. and Samways, M. J.","ANIMAL CONSERVATION","1367-9430",17,"5","401-409",2014,"10.1111/acv.12118","Ecosystems are made up of various mutualistic and antagonistic plant and animal interactions. These interactions are subject to various global change phenomena such as land use change and habitat modification. While the effect of environmentally friendly farming practices on the taxonomic diversity of plants and animal species has been reported, it is uncertain whether these schemes provide benefit for species interaction networks. We compared insect-flower interaction networks by analyzing important web structure indices from organic and conventional vineyards and natural vegetation sites in five different localities in the Cape Floristic Region biodiversity hotspot. Average number of insect-flower interactions was higher in organic vineyards compared with conventional vineyards and natural sites. Abundance of flowering plants contributed significantly to explain the observed difference in number of interactions in the model. Other network indices were similar between the different land use types. Our results support the importance of less intensive farming for promoting biodiversity. Approaches such as organic farming are especially beneficial for important interaction networks that drive the process of maintaining biodiversity. The potential of well-managed vineyard ecosystems for promoting conservation of ecologically important insect-flower interactions is demonstrated.",2,"MA102","","","",""
"135","X.ISI.000308239500013","Individual contributions to territory defence in a cooperative breeder: weighing up the benefits and costs","Mares, Rafael and Young, Andrew J. and Clutton-Brock, Tim H.","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452",279,"1744","3989-3995",2012,"10.1098/rspb.2012.1071","While investment in territory defence is expected to be influenced by its benefits, the additional role that costs may play is rarely considered. Here, we quantify both benefits and costs of repelling prospecting males in cooperative meerkats, and demonstrate that both are required to explain the substantial variation in individual contributions to the defence observed. Males benefit more from repelling prospectors than females, as males may lose dominance and be expelled during intrusions. Accordingly, males invest the most in repelling prospectors. We also show that males experience an associated cost in the form of reduced weight gain and, as such, heavier males contribute more to chasing prospectors. Finally, we show evidence of a cost not restricted to individuals engaged in chasing: both males and females reduce their contributions to feeding dependent pups when prospectors are present, resulting in a reduction in pup weight gain in this context. Males appear to adjust their contributions to chasing in light of this cost, chasing at lower rates when their group contains dependent young. Our findings support the view that investment in cooperative behaviours can be attributed to benefits and costs, and highlight the additional importance of considering trade-offs in investment between cooperative behaviours.",2,"MA135","","","",""
"203","X.ISI.000251520500003","Selfish punishment: Altruism can be maintained by competition among cheaters","Eldakar, Omar Tonsi and Farrell, Dene Leo and Wilson, David Sloan","JOURNAL OF THEORETICAL BIOLOGY","0022-5193",249,"2","198-205",2007,"10.1016/j.jtbi.2007.07.024","Altruistic punishment refers to a class of behaviors that deters cheating at a cost to the punisher, making it a form of second-order altruism. Usually, it is assumed that the punishers are themselves ``solid citizens{''} who refrain from cheating. We show in a simulation model that altruism and punishment paradoxically become negatively correlated, leading to a form of selfish punishment. Examples of selfish punishment can be found in organisms as diverse as wasps, birds, and humans. (C) 2007 Elsevier Ltd. All rights reserved.",2,"MA203","","","",""
"33","X.ISI.000430123800022","When mutualisms matter: Rhizobia effects on plant communities depend on host plant population and soil nitrogen availability","Keller, Kane R. and Lau, Jennifer A.","JOURNAL OF ECOLOGY","0022-0477",106,"3","1046-1056",2018,"10.1111/1365-2745.12938","Mutualistic interactions, such as the relationship between legumes and rhizobia, can affect community properties, yet there needs to be greater understanding of when these interactions may be most important to communities. Resource mutualism theory provides predictions based on variation in abiotic and biotic factors. First, there is substantial intraspecific genetic variation in how legumes interact with rhizobia, including variation in legume growth response to rhizobia, number of rhizobia-housing nodules and nitrogen fixation. Rhizobia likely have greater community impacts when associating with hosts that benefit greatly from rhizobia, produce many nodules and fix a lot of nitrogen. Second, increased soil nutrient availability typically reduces the partner benefits of legume-rhizobium interactions. As a result, the legume-rhizobium resource mutualism may have greater effects on communities in low-nitrogen environments. We first conducted a common garden study of the annual legume Chamaecrista fasciculata to explore intraspecific variation in focal traits related to competition and mutualistic interactions with rhizobia. Then, we manipulated the presence of rhizobia, nitrogen fertilization and population identity of C.fasciculata in mesocosms simulating native plant communities. We measured plant diversity, assessed changes in community composition and measured soil nutrient availability. We detected significant genetically based intraspecific variation in growth and mutualism-related traits across C.fasciculata populations. From the experimental mesocosms, we found that although rhizobia consistently reduced diversity, rhizobia most strongly reduced diversity when associating with C.fasciculata populations that were highly dependent on rhizobia and when nitrogen was most limiting. We also detected greater variation among populations in their effects on communities in the absence of rhizobia; the presence of rhizobia dramatically minimized effects of population identity on the surrounding community.Synthesis. These findings show that abiotic environmental factors and intraspecific variation in a dominant host plant can influence the magnitude of mutualism effects on communities and, reciprocally, how the presence of key mutualists can influence the importance of genetically based variation among populations to community outcomes. While prior studies have detected both strong and weak effects of mutualism on plant communities, our study illustrates that mutualism theory may predict when strong mutualism effects are most likely to occur and also shows how theories developed for particular species interactions may make studies investigating the ecological impacts of genetic variation a more predictive science.",2,"MA33","","","",""
"138","X.ISI.000308123700021","The extended personality: indirect effects of behavioural syndromes on the behaviour of others in a group-living cichlid","Hamilton, Ian M. and Ligocki, Isaac Y.","ANIMAL BEHAVIOUR","0003-3472",84,"3","659-664",2012,"10.1016/j.anbehav.2012.06.022","Consistent individual variation in behaviour is widespread across taxa and behavioural categories. Because social behaviour is often a plastic response to the social environment, consistent variation in social behaviours such as aggression and cooperation may generate consistent variation in the behaviour of social partners and others in the group. In this study, we moved individual subordinate males between groups of a cooperatively breeding cichlid, Neolamprologus pulcher. We found that subordinate males varied consistently in their aggressive interactions with neighbouring fish. The effects of individual subordinate males extended beyond their direct interactions; agonistic interactions between dominant males and dominant females varied consistently with subordinate male identity. We suggest that variation in helping behaviour through territorial defence influences the net fitness effects of subordinate males on dominant males and, thus, the potential for conflict between dominant males and dominant females over subordinate male presence. The existence of indirect phenotypic effects of subordinate males on interactions not directly involving the subordinate male suggests that individual personalities extend into the social environment and may be an important selective influence on social behaviour and on variation among social groups. (C) 2012 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2,"MA138","","","",""
"121","X.ISI.000316118400012","Social influences on territorial signaling in male greater sac-winged bats","Eckenweber, Maria and Knoernschild, Mirjam","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443",67,"4","639-648",2013,"10.1007/s00265-013-1483-z","Acoustic territorial displays are common among birds but comparatively rare among mammals. An exceptionally vocal mammal well-known for its elaborate territorial displays is the polygynous greater sac-winged bat, Saccopteryx bilineata. Male S. bilineata are often philopatric and establish small territories in their birth colony in which females can roost during the day. During territorial defense, males produce complex territorial songs that are learned through vocal imitation. Territorial songs are mainly produced at dawn and dusk. We studied social influences on male vocal activity and the occurrence of vocal signatures in territorial songs of 27 male S. bilineata from 12 different-sized colonies in Panama. Males produced significantly more territorial songs when they had more territorial neighbors or when they had females roosting in their territories, indicating that male vocal activity rises with increasing male-male competition. Territorial songs are multisyllabic vocalizations with low-frequency buzz syllables being most prominent. We found statistical evidence for a pronounced individual signature encoded in the buzz syllables of territorial songs that could facilitate individual recognition among rival neighbors. Additionally, we found a vocal group signature in territorial songs, suggesting that young males may learn territorial songs from more than one tutor male. Resident male S. bilineata appear to cooperatively defend their colony against male intruders, making a group signature in territorial songs potentially advantageous.",2,"MA121","","","",""
"66","X.ISI.000377219900014","Ontogenetic shifts in a freshwater cleaning symbiosis: consequences for hosts and their symbionts","Thomas, Michael J. and Creed, Robert P. and Skelton, James and Brown, Bryan L.","ECOLOGY","0012-9658",97,"6","1507-1517",2016,"10.1890/15-1443.1","Animal fitness is influenced by diverse assemblages of internal and external symbionts. These assemblages often change throughout host ontogeny, but the mechanisms that underlie these changes and their consequences for host fitness are seldom revealed. Here we examine a cleaning symbiosis between crayfish and an assemblage of ectosymbiotic branchiobdellidan worms to uncover what mechanisms drive changes in symbiont composition during host ontogeny and the consequences of these changes for both the host and symbionts. In surveys of a North Carolina river, the dominant worm species shifted from Cambarincola philadelphicus to Cambarincola ingens as crayfish (Cambarus bartonii) increased in size. We demonstrate that this shift is a function of host regulation by small crayfish and exclusion by a dominant symbiont on large crayfish. In a controlled lab experiment, small crayfish often removed their symbionts but C. ingens was removed at a higher rate than C. philadelphicus. In contrast, C. ingens had higher survivorship and reproduction than C. philadelphicus on large crayfish. We also measured the effect of each worm species on crayfish growth through ontogeny; neither worm species had an effect on small crayfish but both species had similar positive effects on the growth of large crayfish relative to controls. Evidence from another experiment suggested that intraguild predation by C. ingens caused a decline in C. philadelphicus on large crayfish. We have shown that shifts in partner fitness are a function of host size and that these shifts can involve the succession of symbionts. Further, our results suggest that changes in the outcome of symbioses can remain robust throughout host ontogeny despite interactive mechanisms that lead to shifts in symbiont community structure.",2,"MA66","","","",""
"252","X.ISI.000071525700006","Group fission in Barbary macaques (Macaca sylvanus) at Affenberg Salem","Kuester, J and Paul, A","INTERNATIONAL JOURNAL OF PRIMATOLOGY","0164-0291",18,"6","941-966",1997,"10.1023/A:1026396113830","We analyzed eight group fissions occurring during a 20-year period in three groups of a free-ranging provisioned Barbary macaque population. The founder group fissioned four times within 3.5 years after transfer to the enclosure, indicating that external factors-new environment, more space, absence of other groups-facilitated group fissions. Two groups resulting from these fissions split twice within 2.5 and 1 years, respectively, many years later. The process of fissioning lasted from a few months to almost 2 years. Fissions were preceded by peripheralization/subgrouping of mainly young adult males (8-10 years old), suggesting that male competition was the primary force for the fissions. The males were joined by middle-to low-ranking but not the lowest-ranking females. The resulting new groups were usually smaller than the groups in which the former alpha-matriline-old groups-stayed, and they were also more variable in size and sex ratio, suggesting that variable numbers of surplus individuals were expelled during fission. Mean adult sex ratios were similar in both groups after fission, indicating that the competitively superior males in the old groups (groups + alpha-matriline) could not increase their breeding opportunities. Female kin, even of large matrilinies, almost always stayed together during fission. Natal males strongly preferred to join the old groups, and this preference was most pronounced in juveniles and subadults. Hence, most natal males stayed with maternally related females, i.e., remained true natal males, if the females stayed in old groups. They were separated from female kin, i.e., became seminatal, if the females joined the new groups. These seminatal males did not differ from natal males with respect to matrilineal rank, but they had more female relatives, above all more close relatives (sisters).",2,"MA252","","","",""
